sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543153;40046;868;530179;1584543153;39998;0.005274725;
1584543153;140874;868;634535;1584543153;140827;0.005714286;
1584543153;243139;868;735309;1584543153;243082;0.006153846;
1584543153;343018;868;833248;1584543153;342971;0.005714286;
1584543153;443556;868;936188;1584543153;443513;0.005714286;
1584543153;544443;869;36751;1584543153;544401;0.006153846;
1584543153;645411;869;137566;1584543153;645366;0.005274725;
1584543153;746697;869;236915;1584543153;746651;0.005714286;
1584543153;846957;869;339061;1584543153;846912;0.0167033;
1584543153;948071;869;441843;1584543153;948023;0.005714286;
1584543154;48900;869;540620;1584543154;48854;0.0167033;
1584543154;150450;869;641802;1584543154;149633;0.006153846;
1584543154;250400;869;741642;1584543154;250356;0.007032967;
1584543154;350655;869;840813;1584543154;350609;0.005714286;
1584543154;451040;869;941169;1584543154;450994;0.005714286;
1584543154;552133;870;42266;1584543154;552088;0.01494505;
1584543154;652490;870;142604;1584543154;652448;0.005714286;
1584543154;755472;870;245708;1584543154;755410;0.005274725;
1584543154;854804;870;346082;1584543154;854759;0.005714286;
1584543154;956876;870;447102;1584543154;956818;0.005274725;
1584543155;56634;870;555334;1584543155;56582;0.006153846;
1584543155;158416;870;648610;1584543155;158368;0.006153846;
1584543155;258684;870;748911;1584543155;258637;0.06373627;
1584543155;359160;870;850756;1584543155;359118;0.1613187;
1584543155;460046;870;950226;1584543155;459997;0.05494506;
1584543155;560545;871;52310;1584543155;560502;0.1907692;
1584543155;661819;871;152096;1584543155;661633;0.1512088;
1584543155;762334;871;253764;1584543155;762283;0.2092308;
1584543155;867073;871;357156;1584543155;867029;0.05450549;
1584543155;970223;871;462378;1584543155;970159;0.1850549;
1584543156;68354;871;558521;1584543156;68311;0.06373627;
1584543156;169502;871;660989;1584543156;169459;0.2189011;
1584543156;270521;871;762046;1584543156;270468;0.2;
1584543156;370306;871;860489;1584543156;370268;0.1032967;
1584543156;489209;871;984560;1584543156;489110;0.006153846;
1584543156;572744;872;62942;1584543156;572705;0.0254945;
1584543156;713920;872;204164;1584543156;701597;0.006153846;
1584543156;777477;872;269228;1584543156;777436;0.005714286;
1584543156;879997;872;370150;1584543156;879939;0.01758242;
1584543156;981503;872;472560;1584543156;981448;0.08307692;
1584543157;84102;872;574240;1584543157;84031;0.04527472;
1584543157;191608;872;681791;1584543157;191543;0.01626374;
1584543157;284905;872;775121;1584543157;284844;0.005714286;
1584543157;390233;872;880467;1584543157;384518;0.01714286;
1584543157;490242;872;986186;1584543157;490176;0.005274725;
1584543157;589049;873;81220;1584543157;588985;0.07428571;
1584543157;691127;873;182938;1584543157;691069;0.02593406;
1584543157;792495;873;290340;1584543157;792428;0.04;
1584543157;892439;873;384213;1584543157;892377;0.006153846;
1584543157;991928;873;482106;1584543157;991881;0.04395605;
1584543158;92847;873;584885;1584543158;92801;0.02637363;
1584543158;194734;873;692809;1584543158;194688;0.02681318;
1584543158;295424;873;790177;1584543158;295378;0.03560439;
1584543158;403955;873;895356;1584543158;403901;0.0210989;
1584543158;498073;873;989138;1584543158;498018;0.04615385;
1584543158;600319;874;90435;1584543158;600263;0.03824176;
1584543158;699660;874;189845;1584543158;699613;0.16;
1584543158;802672;874;292816;1584543158;802622;0.04571429;
1584543158;906260;874;396409;1584543158;906191;0.04043956;
1584543159;2926;874;494658;1584543159;2877;0.006153846;
1584543159;104439;874;596978;1584543159;104388;0.01054945;
1584543159;205300;874;697760;1584543159;205253;0.01582417;
1584543159;306680;874;796839;1584543159;306621;0.06505495;
1584543159;408178;874;898316;1584543159;408120;0.006153846;
1584543159;507597;874;997767;1584543159;507549;0.005714286;
1584543159;609867;875;101273;1584543159;607987;0.01714286;
1584543159;708453;875;198586;1584543159;708404;0.01362637;
1584543159;808865;875;301337;1584543159;808815;0.005714286;
1584543159;911026;875;403298;1584543159;910978;0.02593406;
1584543160;11724;875;504045;1584543160;10520;0.005714286;
1584543160;111387;875;602682;1584543160;111338;0.006153846;
1584543160;213162;875;704836;1584543160;213105;0.01714286;
1584543160;313982;875;805425;1584543160;313929;0.02637363;
1584543160;414733;875;904928;1584543160;414686;0.05714286;
1584543160;515988;876;11663;1584543160;515936;0.005714286;
1584543160;618323;876;108507;1584543160;618265;0.005714286;
1584543160;718669;876;210318;1584543160;718620;0.005714286;
1584543160;820212;876;310465;1584543160;820165;0.005714286;
1584543160;922619;876;413968;1584543160;922558;0.005714286;
1584543161;23149;876;514598;1584543161;22096;0.005714286;
1584543161;124772;876;616686;1584543161;124724;0.005274725;
1584543161;230237;876;720464;1584543161;230168;0.01274725;
1584543161;329000;876;830120;1584543161;328949;0.007472527;
1584543161;432313;876;925322;1584543161;432264;0.006593407;
1584543161;532761;877;22888;1584543161;532714;0.006593407;
1584543161;633486;877;132590;1584543161;633290;0.007472527;
1584543161;735117;877;225283;1584543161;735058;0.005714286;
1584543161;835234;877;330629;1584543161;835177;0.007912087;
1584543161;936236;877;426501;1584543161;936180;0.01098901;
1584543162;42082;877;532260;1584543162;42018;0.008791209;
1584543162;142482;877;634690;1584543162;142423;0.008791209;
1584543162;242790;877;735284;1584543162;242744;0.01626374;
1584543162;344444;877;834653;1584543162;344388;0.005714286;
1584543162;446261;877;938466;1584543162;446210;0.006153846;
1584543162;546843;878;41121;1584543162;546791;0.01010989;
1584543162;648925;878;139061;1584543162;648877;0.006153846;
1584543162;750607;878;246576;1584543162;750546;0.005714286;
1584543162;852388;878;342519;1584543162;852330;0.005274725;
1584543162;951566;878;443151;1584543162;951517;0.005274725;
1584543163;52852;878;543020;1584543163;52804;0.006153846;
1584543163;155438;878;645589;1584543163;155378;0.005714286;
1584543163;259876;878;750104;1584543163;259821;0.006153846;
1584543163;359062;878;849247;1584543163;359013;0.005714286;
1584543163;459305;878;951338;1584543163;459256;0.006593407;
1584543163;559837;879;49949;1584543163;559789;0.01098901;
1584543163;662285;879;152440;1584543163;662225;0.006153846;
1584543163;761639;879;254589;1584543163;761589;0.006593407;
1584543163;863907;879;354079;1584543163;863860;0.005714286;
1584543163;964377;879;454522;1584543163;964331;0.005714286;
1584543164;65443;879;556053;1584543164;65397;0.005714286;
1584543164;167356;879;660000;1584543164;167303;0.005714286;
1584543164;267800;879;760176;1584543164;267189;0.006153846;
1584543164;368533;879;858728;1584543164;368485;0.005714286;
1584543164;479165;879;975126;1584543164;479100;0.005714286;
1584543164;580657;880;70733;1584543164;580609;0.005714286;
1584543164;692913;880;190922;1584543164;692850;0.02681318;
1584543164;786598;880;276765;1584543164;786550;0.04571429;
1584543164;889622;880;384156;1584543164;889560;0.005714286;
1584543164;990586;880;488556;1584543164;990533;0.006153846;
1584543165;94143;880;584327;1584543165;94056;0.005714286;
1584543165;193431;880;688230;1584543165;193384;0.005714286;
1584543165;295305;880;791154;1584543165;295251;0.01362637;
1584543165;396607;880;892343;1584543165;396560;0.0167033;
1584543165;502719;880;992894;1584543165;502658;0.006593407;
1584543165;605235;881;95322;1584543165;605175;0.06505495;
1584543165;706277;881;196399;1584543165;706223;0.01582417;
1584543165;805243;881;295377;1584543165;805196;0.006593407;
1584543165;905554;881;397204;1584543165;905506;0.007472527;
1584543166;7627;881;499210;1584543166;7545;0.007472527;
1584543166;108560;881;600277;1584543166;108512;0.006153846;
1584543166;209999;881;701547;1584543166;209949;0.006153846;
1584543166;310666;881;802192;1584543166;310619;0.0167033;
1584543166;411475;881;903013;1584543166;411434;0.01362637;
1584543166;512318;882;3305;1584543166;512270;0.007032967;
1584543166;613390;882;106928;1584543166;613341;0.006153846;
1584543166;715710;882;205921;1584543166;715653;0.01714286;
1584543166;815204;882;306600;1584543166;815158;0.007032967;
1584543166;917578;882;408189;1584543166;917531;0.006593407;
1584543167;18617;882;512547;1584543167;18574;0.006593407;
1584543167;119894;882;614514;1584543167;119847;0.006593407;
1584543167;220774;882;714677;1584543167;220733;0.01450549;
1584543167;322436;882;817851;1584543167;322390;0.007032967;
1584543167;424008;882;917412;1584543167;423961;0.006593407;
1584543167;529098;883;19343;1584543167;529037;0.006593407;
1584543167;626837;883;117088;1584543167;626791;0.006593407;
1584543167;727440;883;224154;1584543167;727389;0.0167033;
1584543167;828717;883;324706;1584543167;828622;0.007912087;
1584543167;930800;883;425046;1584543167;930754;0.007032967;
1584543168;31210;883;526394;1584543168;31164;0.006153846;
1584543168;131487;883;625148;1584543168;131444;0.006153846;
1584543168;232187;883;731630;1584543168;232144;0.006593407;
1584543168;332750;883;826475;1584543168;332701;0.006153846;
1584543168;433846;883;925481;1584543168;433804;0.06021978;
1584543168;534557;884;25963;1584543168;534509;0.006593407;
1584543168;637317;884;133156;1584543168;637256;0.03648352;
1584543168;737307;884;228942;1584543168;736534;0.02989011;
1584543168;838647;884;333169;1584543168;838585;0.1037363;
1584543168;937634;884;430240;1584543168;937586;0.01582417;
1584543169;40656;884;530813;1584543169;40598;0.02945055;
1584543169;140005;884;632569;1584543169;139956;0.006153846;
1584543169;240775;884;733507;1584543169;240726;0.02769231;
1584543169;341870;884;833455;1584543169;341828;0.01802198;
1584543169;442723;884;934284;1584543169;442681;0.1063736;
1584543169;543642;885;36071;1584543169;543591;0.05450549;
1584543169;644181;885;136604;1584543169;644133;0.02681318;
1584543169;745414;885;236892;1584543169;745366;0.006153846;
1584543169;847732;885;337913;1584543169;847684;0.02725275;
1584543169;948167;885;439799;1584543169;948119;0.01406593;
1584543170;50284;885;544340;1584543170;50230;0.07472528;
1584543170;150478;885;640700;1584543170;150432;0.03120879;
1584543170;251501;885;741672;1584543170;251453;0.01846154;
1584543170;352973;885;843130;1584543170;352925;0.006153846;
1584543170;454618;885;944781;1584543170;454566;0.02593406;
1584543170;555000;886;46458;1584543170;554953;0.05626373;
1584543170;655919;886;148845;1584543170;655858;0.01802198;
1584543170;756366;886;248457;1584543170;756309;0.02857143;
1584543170;856559;886;348389;1584543170;856513;0.006593407;
1584543170;957441;886;449912;1584543170;957395;0.02637363;
1584543171;58729;886;551160;1584543171;58680;0.02813187;
