sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1584543153;122823;868;609648;1584543153;122823;-0;
1584543153;223346;868;710171;1584543153;223346;-0;
1584543153;323812;868;810661;1584543153;323812;-0;
1584543153;424374;868;911240;1584543153;424374;-0;
1584543153;524956;869;11894;1584543153;524956;-0;
1584543153;625851;869;112682;1584543153;625851;-0;
1584543153;726375;869;213285;1584543153;726375;0.02063051;
1584543153;827061;869;313895;1584543153;827061;0.02578814;
1584543153;927601;869;414480;1584543153;927601;0.02578814;
1584543154;28090;869;514933;1584543154;28090;0.02578814;
1584543154;128647;869;615494;1584543154;128647;0.04640339;
1584543154;229200;869;716042;1584543154;229200;0.06186102;
1584543154;329817;869;816751;1584543154;329817;0.06186102;
1584543154;430623;869;917469;1584543154;430623;0.06186102;
1584543154;531289;870;18125;1584543154;531289;0.06701865;
1584543154;631816;870;118676;1584543154;631816;0.07217628;
1584543154;732401;870;219252;1584543154;732401;0.0876339;
1584543154;833083;870;320002;1584543154;833083;0.09279153;
1584543154;933819;870;420683;1584543154;933819;0.09794915;
1584543155;34451;870;521306;1584543155;34451;0.09794915;
1584543155;135246;870;622346;1584543155;135246;0.09794915;
1584543155;235394;870;722233;1584543155;235394;0.09794915;
1584543155;335929;870;822779;1584543155;335929;0.09794915;
1584543155;436497;870;923323;1584543155;436497;0.09794915;
1584543155;537010;871;23867;1584543155;537010;0.09794915;
1584543155;637644;871;124479;1584543155;637644;0.09794915;
1584543155;738210;871;225080;1584543155;738210;0.09794915;
1584543155;838712;871;325555;1584543155;838712;0.09794915;
1584543155;939330;871;426248;1584543155;939330;0.09794915;
1584543156;40159;871;527094;1584543156;40159;0.1031068;
1584543156;141057;871;627892;1584543156;141057;0.1082644;
1584543156;241549;871;728382;1584543156;241549;0.1082644;
1584543156;342036;871;828871;1584543156;342036;0.1082644;
1584543156;442525;871;929362;1584543156;442525;0.1082644;
1584543156;543087;872;29944;1584543156;543087;0.1082644;
1584543156;643813;872;130661;1584543156;643813;0.1082644;
1584543156;744532;872;231377;1584543156;744532;0.1082644;
1584543156;845355;872;332288;1584543156;845355;0.1082644;
1584543156;946162;872;433009;1584543156;946162;0.1082644;
1584543157;46727;872;533573;1584543157;46727;0.1082644;
1584543157;147411;872;634260;1584543157;147411;0.1082644;
1584543157;248106;872;734953;1584543157;248106;0.1082644;
1584543157;348815;872;835663;1584543157;348815;0.1082644;
1584543157;449528;872;936380;1584543157;449528;0.1082644;
1584543157;550320;873;37169;1584543157;550320;0.1082644;
1584543157;651078;873;137926;1584543157;651078;0.1082644;
1584543157;751716;873;238562;1584543157;751716;0.1082644;
1584543157;852388;873;339236;1584543157;852388;0.1082644;
1584543157;953064;873;439913;1584543157;953064;0.1082644;
1584543158;53751;873;540598;1584543158;53751;0.1082644;
1584543158;154448;873;641296;1584543158;154448;0.1082644;
1584543158;255118;873;741965;1584543158;255118;0.1082644;
1584543158;355826;873;842676;1584543158;355826;0.1082644;
1584543158;456504;873;943359;1584543158;456504;0.1082644;
1584543158;557236;874;44085;1584543158;557236;0.1082644;
1584543158;657931;874;144782;1584543158;657931;0.1082644;
1584543158;758599;874;245442;1584543158;758599;0.1082644;
1584543158;859274;874;346123;1584543158;859274;0.1082644;
1584543158;959987;874;446836;1584543158;959987;0.1082644;
1584543159;60685;874;547533;1584543159;60685;0.1082644;
1584543159;161431;874;648279;1584543159;161431;0.1082644;
1584543159;262113;874;748960;1584543159;262113;0.1082644;
1584543159;362784;874;849630;1584543159;362784;0.1082644;
1584543159;463487;874;950338;1584543159;463487;0.1082644;
1584543159;564185;875;51030;1584543159;564185;0.1082644;
1584543159;664867;875;151712;1584543159;664867;0.1082644;
1584543159;765520;875;252367;1584543159;765520;0.1082644;
1584543159;866170;875;353016;1584543159;866170;0.1082644;
1584543159;966830;875;453677;1584543159;966830;0.1082644;
1584543160;67501;875;554355;1584543160;67501;0.1082644;
1584543160;168195;875;655049;1584543160;168195;0.1082644;
1584543160;268936;875;755793;1584543160;268936;0.1082644;
1584543160;369645;875;856498;1584543160;369645;0.1082644;
1584543160;470369;875;957318;1584543160;470369;0.1082644;
1584543160;570552;876;57406;1584543160;570552;0.1082644;
1584543160;671364;876;158218;1584543160;671364;0.1082644;
1584543160;772012;876;258871;1584543160;772012;0.1082644;
1584543160;872571;876;359420;1584543160;872571;0.1082644;
1584543160;973237;876;460092;1584543160;973237;0.1082644;
1584543161;73867;876;560718;1584543161;73867;0.1082644;
1584543161;174550;876;661400;1584543161;174550;0.1082644;
1584543161;275273;876;762220;1584543161;275273;0.1082644;
