sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;distance;
1584543153;114194;868;604465;1584543153;114097;1.14;
1584543153;217352;868;709473;1584543153;217283;0.84;
1584543153;318022;868;808190;1584543153;317950;1.42;
1584543153;419290;868;909441;1584543153;418460;1.49;
1584543153;522095;869;14224;1584543153;522034;1.47;
1584543153;619055;869;114849;1584543153;618904;1.92;
1584543153;721188;869;213326;1584543153;721119;1.5;
1584543153;822038;869;312196;1584543153;821967;1.18;
1584543153;921159;869;413953;1584543153;921087;1.45;
1584543154;22887;869;513009;1584543154;22817;1.18;
1584543154;126926;869;618216;1584543154;126858;1.16;
1584543154;225586;869;719738;1584543154;225518;1.49;
1584543154;338001;869;828266;1584543154;337930;1.28;
1584543154;427873;869;929642;1584543154;427803;1.99;
1584543154;528418;870;21453;1584543154;528347;1.43;
1584543154;628868;870;125347;1584543154;628797;0.77;
1584543154;731894;870;222092;1584543154;731825;1.67;
1584543154;832974;870;323172;1584543154;832905;1.45;
1584543154;933902;870;424057;1584543154;932234;1.9;
1584543155;33949;870;524079;1584543155;33876;1.16;
1584543155;144815;870;634964;1584543155;144756;1.14;
1584543155;239680;870;729725;1584543155;239610;1.46;
1584543155;338108;870;828373;1584543155;338035;1.08;
1584543155;438821;870;928935;1584543155;438752;2.8;
1584543155;542710;871;32885;1584543155;542651;1.37;
1584543155;642861;871;133056;1584543155;642801;1.34;
1584543155;744657;871;234845;1584543155;744592;1.23;
1584543155;844092;871;334173;1584543155;844033;1.67;
1584543155;942800;871;432991;1584543155;942733;0.94;
1584543156;51854;871;542081;1584543156;51788;1.71;
1584543156;147085;871;637209;1584543156;147024;0.84;
1584543156;249023;871;740921;1584543156;248963;0.79;
1584543156;350361;871;840603;1584543156;350297;1.65;
1584543156;450271;871;940788;1584543156;450212;0.74;
1584543156;556009;872;47728;1584543156;555936;1.49;
1584543156;702270;872;192454;1584543156;702200;1.42;
1584543156;790729;872;281019;1584543156;790656;1.36;
1584543156;875879;872;366176;1584543156;875806;1.33;
1584543156;977106;872;467320;1584543156;977033;1.41;
1584543157;80758;872;570966;1584543157;80689;1.34;
1584543157;181955;872;672157;1584543157;181885;0.97;
1584543157;280725;872;770905;1584543157;280656;1.38;
1584543157;382162;872;872329;1584543157;382092;0.65;
1584543157;485126;872;980907;1584543157;484246;1.22;
1584543157;587024;873;77209;1584543157;586956;0.97;
1584543157;688464;873;178642;1584543157;688395;1.13;
1584543157;792760;873;282950;1584543157;792694;1.27;
1584543157;899858;873;395256;1584543157;897658;1.86;
1584543157;989387;873;483032;1584543157;989316;0.75;
1584543158;96401;873;586559;1584543158;95535;0.7;
1584543158;195722;873;691141;1584543158;195653;0.62;
1584543158;292575;873;783065;1584543158;292507;0.75;
1584543158;398543;873;888685;1584543158;398471;1.57;
1584543158;494145;873;984367;1584543158;494073;1.54;
1584543158;597250;874;93138;1584543158;597181;0.6;
1584543158;702976;874;194800;1584543158;702906;1.37;
1584543158;799830;874;293857;1584543158;799758;0.46;
1584543158;902728;874;392932;1584543158;902658;1.3;
1584543159;944;874;491105;1584543159;872;1.22;
1584543159;100316;874;591083;1584543159;100248;1.16;
1584543159;202151;874;692327;1584543159;202079;1.15;
1584543159;303777;874;793960;1584543159;303703;1.05;
1584543159;404576;874;894721;1584543159;404505;1.04;
1584543159;502754;874;992919;1584543159;502685;1;
1584543159;605268;875;95380;1584543159;605200;0.43;
1584543159;705097;875;195185;1584543159;705026;0.93;
1584543159;805358;875;299981;1584543159;805288;1.35;
1584543159;907487;875;397648;1584543159;907418;1.36;
1584543160;6972;875;497143;1584543160;6415;1.49;
1584543160;107869;875;598041;1584543160;107799;1.57;
1584543160;207660;875;697821;1584543160;207590;0.31;
1584543160;309152;875;799313;1584543160;309084;0.25;
1584543160;413614;875;907193;1584543160;413547;1.44;
1584543160;513850;876;4026;1584543160;513604;1.81;
1584543160;614524;876;104681;1584543160;614453;1.45;
1584543160;714974;876;205098;1584543160;714903;3.05;
1584543160;816104;876;306270;1584543160;816035;0.27;
1584543160;916126;876;406278;1584543160;916056;2.79;
1584543161;18485;876;508681;1584543161;18414;2.6;
1584543161;122553;876;612677;1584543161;121254;2.62;
1584543161;223285;876;714228;1584543161;223213;2.85;
1584543161;321089;876;813716;1584543161;320968;2.71;
1584543161;422157;876;912458;1584543161;422084;1.13;
1584543161;523330;877;13502;1584543161;523261;0.87;
1584543161;625102;877;115287;1584543161;625030;0.85;
1584543161;726148;877;218660;1584543161;726079;1.05;
1584543161;826468;877;316653;1584543161;826400;0.27;
1584543161;926978;877;417142;1584543161;926905;0.22;
1584543162;31185;877;521294;1584543162;31116;1.01;
1584543162;130893;877;621095;1584543162;130822;1.05;
1584543162;230850;877;721099;1584543162;230781;0.99;
1584543162;330942;877;821142;1584543162;330872;1.33;
1584543162;432907;877;924094;1584543162;432838;0.91;
1584543162;535001;878;25159;1584543162;534930;0.85;
1584543162;633352;878;125077;1584543162;633278;1.34;
1584543162;734497;878;226541;1584543162;734428;1.42;
1584543162;835869;878;326024;1584543162;835798;1.48;
1584543162;936324;878;426412;1584543162;936253;1.59;
1584543163;36245;878;526541;1584543163;36103;0.95;
1584543163;138112;878;628291;1584543163;138042;1;
1584543163;238909;878;729078;1584543163;238836;1.43;
1584543163;339542;878;831985;1584543163;339475;1.34;
1584543163;439783;878;929900;1584543163;439715;0.82;
1584543163;545384;879;36944;1584543163;545314;1.72;
1584543163;644720;879;134893;1584543163;644650;1.25;
1584543163;746378;879;236562;1584543163;745650;2.96;
1584543163;845810;879;336092;1584543163;845648;1.1;
1584543163;947445;879;437801;1584543163;947370;0.8;
1584543164;52409;879;542569;1584543164;52339;0.71;
1584543164;151557;879;643260;1584543164;151485;0.87;
1584543164;254876;879;748890;1584543164;254809;0.85;
1584543164;352583;879;842870;1584543164;352511;0.77;
1584543164;454020;879;944307;1584543164;453947;0.81;
1584543164;555929;880;46216;1584543164;555856;0.79;
1584543164;662185;880;152341;1584543164;662114;0.62;
1584543164;762184;880;252488;1584543164;762111;2.27;
1584543164;863354;880;353638;1584543164;863280;0.49;
1584543164;966957;880;457136;1584543164;965979;2.59;
1584543165;68780;880;561699;1584543165;68713;0.85;
1584543165;168726;880;659055;1584543165;168653;1.08;
1584543165;269298;880;761012;1584543165;269224;0.32;
1584543165;370439;880;860738;1584543165;370368;0.27;
1584543165;478864;880;968976;1584543165;478791;0.24;
1584543165;578000;881;68153;1584543165;577929;0.2;
1584543165;674828;881;164964;1584543165;674760;0.9;
1584543165;775560;881;267126;1584543165;775487;1.2;
1584543165;883067;881;373232;1584543165;882999;2.21;
1584543165;977049;881;467291;1584543165;976979;2.17;
1584543166;79830;881;569998;1584543166;79762;1.51;
1584543166;180271;881;673622;1584543166;180203;1.45;
1584543166;280396;881;770546;1584543166;280328;2.03;
1584543166;381002;881;872680;1584543166;380933;1.37;
1584543166;487514;881;986108;1584543166;487445;0.88;
1584543166;580981;882;71314;1584543166;580909;0.85;
1584543166;683386;882;174859;1584543166;683318;1.01;
1584543166;783783;882;274035;1584543166;783710;1.51;
1584543166;889972;882;380153;1584543166;889900;1.6;
1584543166;992689;882;482837;1584543166;992158;1.53;
1584543167;92624;882;582848;1584543167;92556;0.78;
1584543167;190514;882;680731;1584543167;190444;1.53;
1584543167;290011;882;780149;1584543167;289942;1.48;
1584543167;391203;882;884218;1584543167;391130;1.42;
1584543167;490842;882;981083;1584543167;490768;1.18;
1584543167;591941;883;82185;1584543167;591867;1.3;
1584543167;694112;883;190962;1584543167;694042;0.98;
1584543167;796366;883;289134;1584543167;796294;1.19;
1584543167;901385;883;392892;1584543167;901311;0.86;
1584543168;255;883;490470;1584543168;184;1.08;
1584543168;99569;883;590153;1584543168;99497;1.03;
1584543168;199911;883;690071;1584543168;199840;0.97;
1584543168;303638;883;793831;1584543168;303569;0.94;
1584543168;402514;883;892691;1584543168;402444;0.9;
1584543168;501606;883;992094;1584543168;501533;0.85;
1584543168;602473;884;92711;1584543168;602404;1.08;
1584543168;703274;884;193499;1584543168;703202;0.82;
1584543168;810898;884;301101;1584543168;810827;0.98;
1584543168;906688;884;396915;1584543168;906574;0.94;
1584543169;7604;884;497785;1584543169;7533;1.1;
1584543169;107999;884;598223;1584543169;107929;1.06;
1584543169;210203;884;700428;1584543169;210132;0.97;
1584543169;310479;884;800567;1584543169;310407;1.44;
1584543169;411747;884;901923;1584543169;411678;1.36;
1584543169;511428;885;1598;1584543169;511359;1.29;
1584543169;612970;885;103864;1584543169;612902;1.27;
1584543169;718070;885;208249;1584543169;717998;1.2;
1584543169;813608;885;303944;1584543169;813535;1.35;
1584543169;913300;885;404978;1584543169;913167;1.13;
1584543170;14253;885;504507;1584543170;14180;1.12;
1584543170;115207;885;605426;1584543170;115135;1.53;
1584543170;216424;885;706669;1584543170;216352;1.49;
1584543170;318099;885;808372;1584543170;317964;1.45;
1584543170;418266;885;908546;1584543170;418193;1.41;
1584543170;519416;886;9621;1584543170;519348;1.34;
1584543170;621536;886;111958;1584543170;621467;1.66;
1584543170;723095;886;213387;1584543170;723022;1.24;
1584543170;823374;886;313712;1584543170;823300;1.2;
1584543170;926652;886;416774;1584543170;926581;1.48;
1584543171;25075;886;515370;1584543171;25001;1.41;
1584543171;125211;886;616956;1584543171;125138;1.37;
1584543171;225938;886;716279;1584543171;225865;1.24;
1584543171;325955;886;816213;1584543171;325883;1.24;
1584543171;426899;886;917209;1584543171;426826;3.31;
1584543171;530031;887;20236;1584543171;529956;3.11;
1584543171;630908;887;121107;1584543171;630837;3.16;
1584543171;736904;887;229727;1584543171;736838;1.04;
1584543171;830152;887;320344;1584543171;830084;0.72;
1584543171;931962;887;423943;1584543171;931888;3.04;
1584543172;32398;887;522686;1584543172;32323;2.98;
1584543172;132661;887;622908;1584543172;132589;1.72;
1584543172;235089;887;729493;1584543172;235015;2.9;
1584543172;335548;887;825849;1584543172;335475;0.51;
1584543172;435580;887;925884;1584543172;435507;0.91;
1584543172;548407;888;38677;1584543172;548334;0.98;
1584543172;639080;888;132482;1584543172;639006;1.46;
1584543172;743404;888;233611;1584543172;743333;1.64;
1584543172;844302;888;335304;1584543172;844234;2.67;
1584543172;948755;888;439037;1584543172;948683;1.3;
1584543173;52459;888;542627;1584543173;52383;2.7;
1584543173;149637;888;640095;1584543173;149564;1.42;
1584543173;250298;888;740511;1584543173;250230;1.38;
1584543173;351607;888;843176;1584543173;351534;0.82;
1584543173;456205;888;946490;1584543173;456131;1.35;
1584543173;558343;889;51645;1584543173;558276;0.96;
1584543173;655326;889;145621;1584543173;655254;0.98;
1584543173;762265;889;254206;1584543173;762194;1.66;
1584543173;861321;889;354070;1584543173;861253;0.53;
1584543173;963798;889;454098;1584543173;963725;1.11;
1584543174;69269;889;560153;1584543174;69200;0.68;
1584543174;167513;889;657643;1584543174;167444;2.11;
1584543174;269583;889;759954;1584543174;269515;2.05;
1584543174;371433;889;861589;1584543174;371367;2.02;
1584543174;473608;889;964527;1584543174;473541;0.72;
1584543174;573166;890;63340;1584543174;573097;0.74;
