sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543410;540327;1126;32306;1584543410;540279;0.005274725;
1584543410;641125;1126;138894;1584543410;641077;0.005274725;
1584543410;744568;1126;235032;1584543410;744514;0.005714286;
1584543410;847502;1126;341146;1584543410;845628;0.005714286;
1584543410;954226;1126;444651;1584543410;954161;0.005714286;
1584543411;54412;1126;544847;1584543411;54349;0.005274725;
1584543411;151889;1126;643862;1584543411;151848;0.007032967;
1584543411;252690;1126;744300;1584543411;252647;0.005274725;
1584543411;353130;1126;845215;1584543411;353087;0.005274725;
1584543411;456710;1126;947156;1584543411;456659;0.005274725;
1584543411;556144;1127;48924;1584543411;556098;0.004835165;
1584543411;656977;1127;159180;1584543411;656935;0.005274725;
1584543411;758866;1127;250642;1584543411;758816;0.005274725;
1584543411;859149;1127;351853;1584543411;859090;0.009670329;
1584543411;961040;1127;455422;1584543411;960991;0.004835165;
1584543412;63216;1127;557894;1584543412;63169;0.005274725;
1584543412;164311;1127;660279;1584543412;164267;0.01186813;
1584543412;270054;1127;761663;1584543412;269990;0.006593407;
1584543412;365497;1127;859278;1584543412;365449;0.01582417;
1584543412;475703;1127;969718;1584543412;475652;0.004835165;
1584543412;571901;1128;63566;1584543412;571850;0.005274725;
1584543412;671892;1128;162316;1584543412;671829;0.005274725;
1584543412;772415;1128;264278;1584543412;772366;0.005274725;
1584543412;872528;1128;364886;1584543412;872482;0.005274725;
1584543412;973995;1128;465708;1584543412;973935;0.009670329;
1584543413;73574;1128;566061;1584543413;73528;0.02285714;
1584543413;174943;1128;665393;1584543413;174898;0.005274725;
1584543413;276118;1128;767972;1584543413;276053;0.005274725;
1584543413;376506;1128;868400;1584543413;376458;0.01230769;
1584543413;477261;1128;969155;1584543413;477212;0.006593407;
1584543413;578809;1129;70538;1584543413;578750;0.005274725;
1584543413;679028;1129;172316;1584543413;678968;0.02197802;
1584543413;779628;1129;271295;1584543413;779582;0.007032967;
1584543413;880123;1129;372097;1584543413;880078;0.01714286;
1584543413;980915;1129;474264;1584543413;980867;0.01230769;
1584543414;81286;1129;573214;1584543414;81234;0.01186813;
1584543414;184366;1129;674830;1584543414;184304;0.006593407;
1584543414;282613;1129;774346;1584543414;282567;0.01230769;
1584543414;383202;1129;874912;1584543414;383155;0.01230769;
1584543414;483944;1129;975925;1584543414;483902;0.01230769;
1584543414;584901;1130;76912;1584543414;584860;0.01230769;
1584543414;686175;1130;177943;1584543414;686131;0.01230769;
1584543414;786796;1130;278506;1584543414;786748;0.01274725;
1584543414;887529;1130;379325;1584543414;887488;0.01318681;
1584543414;988323;1130;480935;1584543414;988281;0.01274725;
1584543415;88741;1130;580697;1584543415;88693;0.01318681;
1584543415;189934;1130;682711;1584543415;189884;0.01230769;
1584543415;290896;1130;782749;1584543415;290847;0.02065934;
1584543415;391672;1130;883528;1584543415;391632;0.01714286;
