sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angularVelocityX;angularVelocityY;angularVelocityZ;
1584543401;120814;1116;614277;1584543401;120814;0.4882812;0.4882812;0.4272461;
1584543401;146486;1116;640136;1584543401;146486;0.4882812;0.4882812;0.5493164;
1584543401;178019;1116;671205;1584543401;178019;0.3662109;0.4882812;0.4882812;
1584543401;274869;1116;768334;1584543401;274869;0.4272461;0.4272461;0.4882812;
1584543401;309502;1116;802979;1584543401;309502;0.4882812;0.4882812;0.4882812;
1584543401;386428;1116;879322;1584543401;386428;0.3662109;0.4882812;0.4882812;
1584543401;419235;1116;913076;1584543401;419235;0.3662109;0.5493164;0.4272461;
1584543401;447039;1116;941011;1584543401;447039;0.3662109;0.4882812;0.4272461;
1584543401;526412;1117;19245;1584543401;526412;0.3051758;0.5493164;0.3662109;
1584543401;550903;1117;44350;1584543401;550903;0.3662109;0.4882812;0.4882812;
1584543401;581890;1117;75248;1584543401;581890;0.3662109;0.6713867;0.5493164;
1584543401;609012;1117;101684;1584543401;609012;0.4882812;0.6713867;0.4882812;
1584543401;687067;1117;180106;1584543401;687067;0.3662109;0.4272461;0.5493164;
1584543401;772069;1117;265113;1584543401;772069;0.4882812;0.4882812;0.4882812;
1584543401;801439;1117;301452;1584543401;801439;0.3662109;0.5493164;0.4272461;
1584543401;884555;1117;378058;1584543401;884555;0.4272461;0.4272461;0.3662109;
1584543401;973032;1117;467974;1584543401;973032;0.6713867;0.2441406;0.5493164;
1584543402;3293;1117;500581;1584543402;3293;0.3662109;0.9765625;0.4272461;
1584543402;88477;1117;582426;1584543402;88477;0.3662109;0.1220703;0.1220703;
1584543402;118923;1117;612889;1584543402;118923;0.4272461;0.7324219;0.5493164;
1584543402;141153;1117;634696;1584543402;141153;-1.098633;-2.868652;0;
1584543402;170155;1117;663479;1584543402;170155;1.708984;0.4882812;0.4272461;
1584543402;270256;1117;764069;1584543402;270256;3.051758;10.0708;-2.075195;
1584543402;295964;1117;789657;1584543402;295964;-0.8544922;-4.333496;0.6713867;
1584543402;382223;1117;876000;1584543402;382223;-0.2441406;-2.563477;-2.258301;
1584543402;406442;1117;904744;1584543402;406442;-4.516602;8.850098;-2.685547;
1584543402;489016;1117;982126;1584543402;489016;8.483887;3.234863;-2.624512;
1584543402;515026;1118;11538;1584543402;515026;-5.249023;2.868652;-0.7324219;
1584543402;597116;1118;90753;1584543402;597116;5.859375;-12.57324;-3.78418;
1584543402;624942;1118;118922;1584543402;624942;-1.403809;10.13184;-3.540039;
1584543402;707387;1118;203815;1584543402;707387;11.47461;-38.81836;-3.173828;
1584543402;743755;1118;237058;1584543402;743755;-6.896973;31.61621;-5.737305;
1584543402;826560;1118;319558;1584543402;826560;2.01416;34.97314;-0.6713867;
1584543402;917199;1118;414793;1584543402;917199;-25.39062;16.11328;-4.699707;
1584543403;7943;1118;505639;1584543403;7943;35.5835;-6.896973;-1.220703;
1584543403;45621;1118;539072;1584543403;45621;-31.92139;4.821777;-5.859375;
1584543403;128363;1118;621408;1584543403;128363;-19.22607;10.19287;-2.807617;
1584543403;158869;1118;656229;1584543403;158869;-8.422852;-0.06103516;-1.647949;
1584543403;252861;1118;745872;1584543403;252861;28.93066;-16.35742;-4.02832;
1584543403;284930;1118;778472;1584543403;284930;3.234863;15.31982;-3.295898;
1584543403;309580;1118;802603;1584543403;309580;28.68652;-25.93994;-6.774902;
1584543403;401436;1118;894958;1584543403;401436;-34.91211;15.56396;-8.422852;
1584543403;428378;1118;921862;1584543403;428378;12.93945;-31.67725;-4.821777;
1584543403;508006;1119;1815;1584543403;508006;22.52197;-16.54053;-1.098633;
1584543403;547210;1119;40900;1584543403;547210;4.638672;-3.234863;-1.037598;
1584543403;627012;1119;121232;1584543403;627012;-16.23535;13.24463;-5.126953;
1584543403;711183;1119;204212;1584543403;711183;-7.568359;10.31494;-8.422852;
1584543403;736756;1119;237537;1584543403;736756;13.00049;-19.89746;-4.089355;
1584543403;823117;1119;318706;1584543403;823117;-18.00537;19.59229;1.403809;
1584543403;923102;1119;416057;1584543403;923102;-18.79883;5.737305;-7.263184;
1584543404;12081;1119;506547;1584543404;12081;-16.8457;11.35254;-6.286621;
1584543404;47789;1119;541245;1584543404;47789;-16.47949;-10.74219;-11.2915;
1584543404;127285;1119;623469;1584543404;127285;-12.63428;2.929688;-9.70459;
1584543404;249497;1119;743290;1584543404;249497;-18.98193;12.3291;-8.544922;
1584543404;328783;1119;833386;1584543404;328783;-14.4043;7.751465;-10.62012;
1584543404;413603;1119;914510;1584543404;413603;-2.319336;0.6713867;-4.211426;
1584543404;508468;1120;1531;1584543404;508468;-9.82666;4.699707;-4.943848;
1584543404;608532;1120;101218;1584543404;608532;4.638672;-2.502441;-8.056641;
1584543404;694644;1120;187462;1584543404;694644;7.69043;1.220703;-3.662109;
1584543404;717591;1120;216739;1584543404;717591;28.25928;-9.094238;-4.394531;
1584543404;808631;1120;301329;1584543404;808631;26.79443;-11.84082;-4.211426;
1584543404;853013;1120;345919;1584543404;853013;20.87402;-5.493164;-0.3662109;
1584543404;942694;1120;437982;1584543404;942694;-6.286621;-5.615234;-4.943848;
1584543404;965351;1120;459921;1584543404;965351;12.51221;3.662109;-6.774902;
1584543405;54231;1120;547108;1584543405;54231;-23.55957;14.5874;-8.605957;
1584543405;76228;1120;569506;1584543405;76228;-0.5493164;10.43701;-7.629395;
1584543405;159116;1120;652512;1584543405;159116;-6.469727;-0.1831055;-6.103516;
1584543405;180101;1120;681443;1584543405;180101;-11.16943;9.887695;-5.493164;
1584543405;264417;1120;757960;1584543405;264417;17.15088;-4.211426;-9.765625;
1584543405;292583;1120;785774;1584543405;292583;6.286621;-10.37598;-7.019043;
1584543405;364482;1120;858138;1584543405;364482;-13.73291;7.568359;-11.04736;
1584543405;386146;1120;886982;1584543405;386146;-8.117676;9.338379;-12.3291;
1584543405;469390;1120;962845;1584543405;469390;20.26367;15.19775;-20.08057;
1584543405;496008;1120;988931;1584543405;496008;11.04736;19.77539;-24.71924;
1584543405;568908;1121;62400;1584543405;568908;6.04248;-0.6713867;-26.06201;
1584543405;590061;1121;91188;1584543405;590061;5.554199;1.037598;-25.02441;
1584543405;668673;1121;161336;1584543405;668673;21.48438;-15.99121;-22.46094;
1584543405;688945;1121;181595;1584543405;688945;9.887695;-6.652832;-23.37646;
1584543405;769856;1121;262373;1584543405;769856;9.399414;4.821777;-21.60645;
1584543405;789951;1121;290091;1584543405;789951;6.408691;-6.164551;-21.60645;
1584543405;875253;1121;368649;1584543405;875253;-5.859375;-8.666992;-20.81299;
1584543405;904783;1121;398281;1584543405;904783;-0.4272461;1.525879;-21.30127;
1584543405;979636;1121;473763;1584543405;979636;-15.19775;3.173828;-27.22168;
1584543406;9973;1121;503262;1584543406;9973;-24.90234;-9.887695;-26.61133;
1584543406;38596;1121;535345;1584543406;38596;18.00537;6.713867;-19.77539;
1584543406;126838;1121;620300;1584543406;126838;28.62549;-11.71875;-18.55469;
1584543406;215524;1121;709018;1584543406;215524;-11.1084;9.338379;-22.27783;
1584543406;324862;1121;818276;1584543406;324862;-11.41357;11.35254;-20.62988;
1584543406;420803;1121;914353;1584543406;420803;1.77002;-0.6103516;-19.59229;
1584543406;515566;1122;9213;1584543406;515566;30.94482;1.77002;-16.47949;
1584543406;555137;1122;49340;1584543406;555137;15.13672;-2.807617;-23.25439;
1584543406;629949;1122;128753;1584543406;629949;6.652832;-18.18848;-31.73828;
