sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;distance;
1584543401;87647;1116;578203;1584543401;87570;3.05;
1584543401;188987;1116;682149;1584543401;188917;3.08;
1584543401;290962;1116;781997;1584543401;290887;3.06;
1584543401;392862;1116;884241;1584543401;392792;3.09;
1584543401;494920;1116;985454;1584543401;494846;3.05;
1584543401;598286;1117;88852;1584543401;598211;3.08;
1584543401;701294;1117;196919;1584543401;701224;3.05;
1584543401;798515;1117;288914;1584543401;798445;3.05;
1584543401;900652;1117;391564;1584543401;900581;3.05;
1584543401;999509;1117;489929;1584543401;999440;3.05;
1584543402;99278;1117;592758;1584543402;99207;3.05;
1584543402;201272;1117;693273;1584543402;201194;3.05;
1584543402;316390;1117;806693;1584543402;316315;3.06;
1584543402;417256;1117;909056;1584543402;417190;3.14;
1584543402;518017;1118;8480;1584543402;517419;3.13;
1584543402;617383;1118;110573;1584543402;617260;3.14;
1584543402;717986;1118;208424;1584543402;717916;3.18;
1584543402;818465;1118;308979;1584543402;818389;3.23;
1584543402;920783;1118;411187;1584543402;920715;3.26;
1584543403;19774;1118;510202;1584543403;19703;1.94;
1584543403;119307;1118;609808;1584543403;119230;3.37;
1584543403;219087;1118;709654;1584543403;219011;3.48;
1584543403;321986;1118;812443;1584543403;321918;0.94;
1584543403;421507;1118;912146;1584543403;421387;2.1;
1584543403;524394;1119;14692;1584543403;524323;2.14;
1584543403;622872;1119;113251;1584543403;622807;2.14;
1584543403;724710;1119;214992;1584543403;724638;2.2;
1584543403;824169;1119;314475;1584543403;824095;2.22;
1584543403;927399;1119;417796;1584543403;927327;2.28;
1584543404;26135;1119;516462;1584543404;26063;2.33;
1584543404;129931;1119;620374;1584543404;129618;2.36;
1584543404;238982;1119;734046;1584543404;238907;2.43;
1584543404;331862;1119;822239;1584543404;331791;1.7;
1584543404;431410;1119;921897;1584543404;429082;2.57;
1584543404;531739;1120;22125;1584543404;531666;2.69;
1584543404;630476;1120;121440;1584543404;630406;2.62;
1584543404;731685;1120;222090;1584543404;731614;2.67;
1584543404;832267;1120;323154;1584543404;832156;2.72;
1584543404;932635;1120;422921;1584543404;932564;2.86;
1584543405;33362;1120;525380;1584543405;33287;2.85;
1584543405;144107;1120;636010;1584543405;136813;2.9;
1584543405;245110;1120;735480;1584543405;245043;2.97;
1584543405;337970;1120;830767;1584543405;337897;1.23;
1584543405;436473;1120;927002;1584543405;436397;1.29;
1584543405;536929;1121;28994;1584543405;536852;1.27;
1584543405;638804;1121;129331;1584543405;638727;1.26;
1584543405;738036;1121;228499;1584543405;737959;1.34;
1584543405;838544;1121;328939;1584543405;838474;1.38;
1584543405;938741;1121;430410;1584543405;938678;1.49;
1584543406;40326;1121;530709;1584543406;40258;1.65;
1584543406;140808;1121;631233;1584543406;140740;1.4;
1584543406;259349;1121;749731;1584543406;259281;1.72;
1584543406;342630;1121;833320;1584543406;342556;1.52;
1584543406;448144;1121;938534;1584543406;448077;1.8;
1584543406;546347;1122;36730;1584543406;546274;1.91;
1584543406;847010;1122;337446;1584543406;846943;1.43;
1584543407;359198;1122;849614;1584543407;357614;1.07;
1584543407;454681;1122;945133;1584543407;454609;1.13;
1584543407;556197;1123;46587;1584543407;556124;1.18;
1584543407;655778;1123;146265;1584543407;655714;1.24;
1584543407;756202;1123;246593;1584543407;756140;1.31;
1584543407;861574;1123;356134;1584543407;861508;1.37;
