sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;distance;
1584543601;581258;1317;73730;1584543601;581184;2.08;
1584543601;682917;1317;174205;1584543601;682849;0.82;
1584543601;783463;1317;274267;1584543601;783396;1.8;
1584543601;884938;1317;375658;1584543601;884870;2.11;
1584543601;984648;1317;475415;1584543601;984585;1.46;
1584543602;87170;1317;577960;1584543602;87103;1.27;
1584543602;203984;1317;695737;1584543602;203914;1.28;
1584543602;294697;1317;785514;1584543602;294625;1.39;
1584543602;394330;1317;885112;1584543602;394260;1.23;
1584543602;496088;1317;986887;1584543602;496018;1.28;
1584543602;596805;1318;87596;1584543602;596736;1.49;
1584543602;697270;1318;191685;1584543602;697197;1.24;
1584543602;801075;1318;294112;1584543602;801004;1.75;
1584543602;902480;1318;393294;1584543602;901642;1.24;
1584543603;4285;1318;495142;1584543603;4216;0.9;
1584543603;103888;1318;597800;1584543603;103814;1.48;
1584543603;204300;1318;695124;1584543603;204229;1.27;
1584543603;306739;1318;797629;1584543603;306668;1.47;
1584543603;407466;1318;898283;1584543603;407399;2.13;
1584543603;507721;1318;998554;1584543603;507650;1.46;
1584543603;610721;1319;101543;1584543603;610648;2.3;
1584543603;709955;1319;200817;1584543603;709884;0.84;
1584543603;811716;1319;302526;1584543603;811647;2.22;
1584543603;910315;1319;401653;1584543603;910245;2.26;
1584543604;12104;1319;502893;1584543604;12035;1.21;
1584543604;117494;1319;608931;1584543604;117422;1.4;
1584543604;215416;1319;706277;1584543604;215346;1.93;
1584543604;317042;1319;807816;1584543604;316973;1.92;
1584543604;416230;1319;907027;1584543604;416161;0.98;
1584543604;517233;1320;7982;1584543604;517164;1.1;
1584543604;618287;1320;109137;1584543604;618217;1.33;
1584543604;723504;1320;214330;1584543604;723434;0.71;
1584543604;823730;1320;319947;1584543604;823653;1.33;
1584543604;926980;1320;417828;1584543604;926909;1.34;
1584543605;23213;1320;514952;1584543605;23144;1.25;
1584543605;122950;1320;613833;1584543605;122877;1.23;
1584543605;224931;1320;715846;1584543605;224861;0.82;
1584543605;328484;1320;819744;1584543605;328414;1.18;
1584543605;427218;1320;918844;1584543605;427149;2.88;
1584543605;527300;1321;19054;1584543605;527232;2.85;
1584543605;628832;1321;119671;1584543605;628761;1.45;
1584543605;727747;1321;220943;1584543605;727677;0.94;
1584543605;830423;1321;321241;1584543605;830351;2.76;
1584543605;929501;1321;421229;1584543605;929390;2.73;
1584543606;32372;1321;523201;1584543606;32301;2.68;
1584543606;136784;1321;627618;1584543606;136722;2.65;
1584543606;235262;1321;726205;1584543606;235189;0.82;
1584543606;337458;1321;828952;1584543606;337396;2.56;
1584543606;434062;1321;924999;1584543606;433987;2.5;
1584543606;536109;1322;27049;1584543606;536032;2.48;
1584543606;647970;1322;138741;1584543606;647899;2.43;
1584543606;746583;1322;237515;1584543606;746508;0.98;
1584543606;847200;1322;338141;1584543606;847123;2.15;
1584543606;949098;1322;446351;1584543606;948366;2.35;
1584543607;51854;1322;542702;1584543607;51782;0.65;
1584543607;151660;1322;642481;1584543607;150925;0.87;
1584543607;250971;1322;741901;1584543607;250897;1.29;
