sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;distance;
1584543601;574875;1317;65748;1584543601;574798;3.21;
1584543601;675215;1317;166091;1584543601;675138;3.22;
1584543601;778083;1317;268734;1584543601;778012;2.14;
1584543601;880139;1317;370909;1584543601;880068;3.22;
1584543601;980804;1317;471709;1584543601;980727;3.26;
1584543602;82428;1317;573263;1584543602;82350;3.21;
1584543602;187325;1317;714937;1584543602;187032;2.15;
1584543602;302529;1317;796439;1584543602;302452;3.22;
1584543602;403616;1317;894357;1584543602;403550;3.25;
1584543602;505278;1317;997595;1584543602;504694;3.21;
1584543602;604683;1318;95447;1584543602;604615;3.22;
1584543602;706815;1318;197612;1584543602;706745;3.22;
1584543602;805152;1318;298612;1584543602;805085;3.21;
1584543602;906232;1318;397065;1584543602;906167;3.26;
1584543603;9024;1318;499792;1584543603;8956;3.21;
1584543603;108692;1318;599516;1584543603;108626;3.21;
1584543603;208962;1318;699796;1584543603;208896;3.22;
1584543603;310422;1318;804960;1584543603;310356;3.22;
1584543603;411677;1318;902473;1584543603;411017;3.22;
1584543603;514058;1319;4852;1584543603;513978;2.38;
1584543603;613938;1319;104756;1584543603;613875;3.24;
1584543603;714642;1319;205428;1584543603;714577;2.37;
1584543603;816839;1319;307622;1584543603;816771;2.28;
1584543603;915575;1319;407629;1584543603;915506;3.23;
1584543604;16564;1319;507883;1584543604;16496;3.26;
1584543604;120219;1319;613264;1584543604;120155;2.34;
1584543604;218326;1319;709147;1584543604;218266;2.38;
1584543604;320442;1319;811115;1584543604;320377;3.45;
1584543604;420765;1319;911531;1584543604;420699;2.41;
1584543604;520718;1320;11530;1584543604;520658;2.48;
1584543604;623174;1320;113969;1584543604;623109;2.61;
1584543604;728190;1320;218987;1584543604;728122;2.81;
1584543604;826758;1320;317592;1584543604;826694;2.77;
1584543604;931066;1320;421868;1584543604;931004;2.76;
1584543605;26634;1320;517403;1584543605;26574;1.79;
