sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543601;599063;1317;89745;1584543601;599019;0.05494506;
1584543601;704339;1317;195123;1584543601;704294;0.06153846;
1584543601;807461;1317;299799;1584543601;807402;0.1182418;
1584543601;906933;1317;399951;1584543601;906881;0.005274725;
1584543602;8655;1317;499469;1584543602;8607;0.05230769;
1584543602;109095;1317;601095;1584543602;109050;0.05274725;
1584543602;210590;1317;701498;1584543602;210545;0.005274725;
1584543602;315103;1317;806252;1584543602;315042;0.05230769;
1584543602;414414;1317;908316;1584543602;414370;0.005274725;
1584543602;515954;1318;6743;1584543602;515898;0.05230769;
1584543602;616354;1318;107132;1584543602;616313;0.05142857;
1584543602;716720;1318;207451;1584543602;716678;0.005274725;
1584543602;818991;1318;309762;1584543602;818947;0.05318681;
1584543602;919696;1318;411878;1584543602;919651;0.05318681;
1584543603;20331;1318;512369;1584543603;20286;0.0821978;
1584543603;122875;1318;616412;1584543603;122810;0.06241758;
1584543603;222832;1318;715112;1584543603;222775;0.05934066;
1584543603;322512;1318;813285;1584543603;322469;0.1015385;
1584543603;423158;1318;913947;1584543603;423115;0.04307692;
1584543603;524242;1319;18432;1584543603;524190;0.03384615;
1584543603;626638;1319;118488;1584543603;626595;0.05186813;
1584543603;728371;1319;219178;1584543603;728317;0.04307692;
1584543603;828216;1319;320250;1584543603;828172;0.02417582;
1584543603;929650;1319;422706;1584543603;929603;0.01142857;
1584543604;30950;1319;523812;1584543604;30247;0.05230769;
1584543604;131398;1319;623535;1584543604;131353;0.0232967;
1584543604;231927;1319;723847;1584543604;231882;0.005274725;
1584543604;332320;1319;824380;1584543604;332276;0.005714286;
1584543604;432737;1319;924827;1584543604;432695;0.005274725;
1584543604;533495;1320;26101;1584543604;533451;0.005274725;
1584543604;634476;1320;126744;1584543604;634428;0.006593407;
1584543604;735378;1320;227388;1584543604;735324;0.005274725;
1584543604;835803;1320;327902;1584543604;835758;0.005274725;
1584543604;937208;1320;429271;1584543604;937152;0.004835165;
1584543605;37028;1320;529396;1584543605;36973;0.004835165;
1584543605;138453;1320;630610;1584543605;138361;0.004835165;
1584543605;238974;1320;730894;1584543605;238932;0.004835165;
1584543605;339299;1320;831614;1584543605;339256;0.005274725;
1584543605;442304;1320;934386;1584543605;442245;0.004835165;
1584543605;546728;1321;40748;1584543605;545864;0.005274725;
1584543605;642242;1321;135271;1584543605;642180;0.009670329;
1584543605;743329;1321;244310;1584543605;741656;0.004835165;
1584543605;843057;1321;335306;1584543605;843003;0.005274725;
1584543605;944237;1321;435059;1584543605;944189;0.01582417;
1584543606;44798;1321;537214;1584543606;44750;0.0167033;
1584543606;145609;1321;638165;1584543606;145566;0.005714286;
1584543606;246863;1321;739011;1584543606;246816;0.01626374;
1584543606;348155;1321;838986;1584543606;348110;0.004835165;
1584543606;448530;1321;940828;1584543606;448483;0.005714286;
1584543606;549476;1322;41904;1584543606;549427;0.005274725;
1584543606;650449;1322;141243;1584543606;650402;0.005274725;
1584543606;757202;1322;248048;1584543606;750830;0.0167033;
1584543606;853614;1322;346182;1584543606;853550;0.02461538;
1584543606;954387;1322;449375;1584543606;954323;0.005714286;
1584543607;59025;1322;550702;1584543607;56166;0.007032967;
1584543607;159248;1322;650030;1584543607;159182;0.004835165;
1584543607;258447;1322;753358;1584543607;258388;0.01318681;
1584543607;360421;1322;855196;1584543607;360355;0.04263736;
1584543607;461597;1322;957649;1584543607;461551;0.007912087;
1584543607;562781;1323;56559;1584543607;562581;0.008351648;
1584543607;664787;1323;155661;1584543607;664730;0.005274725;
1584543607;767369;1323;258180;1584543607;767305;0.005714286;
1584543607;864955;1323;357473;1584543607;864907;0.005274725;
1584543607;969404;1323;461689;1584543607;969341;0.09142857;
1584543608;66434;1323;561590;1584543608;66392;0.01538462;
1584543608;167077;1323;659517;1584543608;167034;0.04835165;
1584543608;268242;1323;761246;1584543608;268194;0.0232967;
1584543608;369327;1323;862192;1584543608;369270;0.01450549;
1584543608;470622;1323;963509;1584543608;470577;0.02197802;
1584543608;571807;1324;62643;1584543608;571760;0.01406593;
1584543608;672788;1324;165169;1584543608;672732;0.009670329;
1584543608;772836;1324;265253;1584543608;772789;0.04175824;
1584543608;874886;1324;365699;1584543608;874836;0.006593407;
1584543608;975802;1324;468633;1584543608;975097;0.005274725;
1584543609;76181;1324;569380;1584543609;76133;0.09186812;
1584543609;187721;1324;687374;1584543609;187674;0.08263736;
1584543609;289234;1324;780016;1584543609;289186;0.01230769;
1584543609;393505;1324;886374;1584543609;393457;0.04307692;
1584543609;500427;1324;991220;1584543609;500357;0.01362637;
1584543609;599874;1325;90672;1584543609;599826;0.009670329;
1584543609;711330;1325;202076;1584543609;711285;0.06461538;
1584543609;801546;1325;294040;1584543609;801497;0.005274725;
1584543609;902490;1325;394836;1584543609;902441;0.05054945;
1584543610;5484;1325;497770;1584543610;5425;0.0421978;
1584543610;108539;1325;599335;1584543610;108489;0.005274725;
1584543610;214062;1325;704912;1584543610;214005;0.1393407;
1584543610;312130;1325;806995;1584543610;312020;0.03296703;
1584543610;413533;1325;907977;1584543610;413487;0.1191209;
1584543610;515066;1326;10682;1584543610;515018;0.01098901;
1584543610;616248;1326;111782;1584543610;616202;0.06285714;
1584543610;717926;1326;212713;1584543610;717872;0.04307692;
1584543610;818340;1326;313507;1584543610;818294;0.005274725;
1584543610;919418;1326;414574;1584543610;919371;0.009230769;
1584543611;20033;1326;511897;1584543611;19988;0.004835165;
1584543611;122522;1326;613339;1584543611;122462;0.0232967;
1584543611;222968;1326;715049;1584543611;222909;0.005714286;
1584543611;322511;1326;814714;1584543611;322468;0.005274725;
1584543611;423476;1326;914290;1584543611;423427;0.005274725;
1584543611;524272;1327;15079;1584543611;524226;0.005274725;
1584543611;624525;1327;116322;1584543611;624478;0.005274725;
1584543611;725615;1327;219003;1584543611;725562;0.004835165;
1584543611;827238;1327;320546;1584543611;827191;0.006593407;
1584543611;928005;1327;420018;1584543611;927962;0.07208791;
1584543612;28423;1327;520708;1584543612;28376;0.009670329;
1584543612;130946;1327;621771;1584543612;130885;0.02637363;
1584543612;230424;1327;722681;1584543612;230382;0.03252747;
1584543612;331598;1327;823795;1584543612;331552;0.005274725;
1584543612;432384;1327;924839;1584543612;432343;0.005274725;
1584543612;534183;1328;26320;1584543612;533506;0.004835165;
1584543612;633944;1328;126769;1584543612;633890;0.005274725;
1584543612;735723;1328;227866;1584543612;735676;0.005274725;
1584543612;836511;1328;328922;1584543612;836470;0.005274725;
1584543612;937593;1328;430000;1584543612;937552;0.005274725;
1584543613;39026;1328;531350;1584543613;38974;0.005274725;
1584543613;139696;1328;631882;1584543613;139641;0.005274725;
1584543613;239837;1328;733332;1584543613;239778;0.006153846;
