sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1584543601;595297;1317;82122;1584543601;595297;-0;
1584543601;695735;1317;182561;1584543601;695735;-0;
1584543601;796225;1317;283045;1584543601;796225;-0;
1584543601;896675;1317;383501;1584543601;896675;0.01031526;
1584543601;997134;1317;483959;1584543601;997134;0.02578814;
1584543602;97560;1317;584382;1584543602;97560;0.03093051;
1584543602;198084;1317;685021;1584543602;198084;0.03608814;
1584543602;299042;1317;786003;1584543602;299042;0.05156102;
1584543602;399833;1317;886673;1584543602;399833;0.05670339;
1584543602;500415;1317;987255;1584543602;500415;0.06186102;
1584543602;600947;1318;87875;1584543602;600947;0.07217628;
1584543602;701510;1318;188331;1584543602;701510;0.08249153;
1584543602;802034;1318;288861;1584543602;802034;0.08249153;
1584543602;902579;1318;389466;1584543602;902579;0.08249153;
1584543603;3113;1318;489940;1584543603;3113;0.09279153;
1584543603;103704;1318;590626;1584543603;103704;0.1082644;
1584543603;204596;1318;691515;1584543603;204596;0.1134068;
1584543603;304959;1318;791802;1584543603;304959;0.1134068;
1584543603;405966;1318;892791;1584543603;405966;0.1185644;
1584543603;506059;1318;992884;1584543603;506059;0.1185644;
1584543603;606493;1319;93319;1584543603;606493;0.1185644;
1584543603;706934;1319;193761;1584543603;706934;0.1340373;
1584543603;807377;1319;294201;1584543603;807377;0.1391797;
1584543603;907796;1319;394620;1584543603;907796;0.1391797;
1584543604;8289;1319;495205;1584543604;8289;0.1391797;
1584543604;109127;1319;596077;1584543604;109127;0.1443373;
1584543604;210034;1319;696863;1584543604;210034;0.1443373;
1584543604;310483;1319;797316;1584543604;310483;0.1443373;
1584543604;411124;1319;897957;1584543604;411124;0.123722;
1584543604;511625;1319;998450;1584543604;511625;0.09279153;
1584543604;612082;1320;98905;1584543604;612082;0.0773339;
1584543604;712540;1320;199410;1584543604;712540;0.0773339;
1584543604;813108;1320;299933;1584543604;813108;0.0773339;
1584543604;913720;1320;400680;1584543604;913720;0.0773339;
1584543605;14504;1320;501340;1584543605;14504;0.08249153;
1584543605;115040;1320;601869;1584543605;115040;0.09794915;
1584543605;215523;1320;702353;1584543605;215523;0.1031068;
1584543605;316042;1320;802880;1584543605;316042;0.1031068;
1584543605;416583;1320;903418;1584543605;416583;0.1031068;
1584543605;517163;1321;4000;1584543605;517163;0.1082644;
1584543605;617686;1321;104521;1584543605;617686;0.1082644;
1584543605;718434;1321;205382;1584543605;718434;0.1082644;
1584543605;819280;1321;306114;1584543605;819280;0.1082644;
1584543605;919756;1321;406586;1584543605;919756;0.1134068;
1584543606;20229;1321;507067;1584543606;20229;0.1082644;
1584543606;120749;1321;607596;1584543606;120749;0.1082644;
1584543606;221466;1321;708298;1584543606;221466;0.1134068;
1584543606;321967;1321;808800;1584543606;321967;0.1134068;
1584543606;422621;1321;909457;1584543606;422621;0.1134068;
1584543606;523203;1322;10158;1584543606;523203;0.1134068;
1584543606;624167;1322;111001;1584543606;624167;0.1134068;
1584543606;724661;1322;211490;1584543606;724661;0.1134068;
1584543606;825175;1322;312002;1584543606;825175;0.1134068;
1584543606;925663;1322;412493;1584543606;925663;0.1134068;
1584543607;26130;1322;512960;1584543607;26130;0.1134068;
1584543607;126619;1322;613452;1584543607;126619;0.1134068;
1584543607;227144;1322;713972;1584543607;227144;0.1134068;
1584543607;327640;1322;814468;1584543607;327640;0.1134068;
1584543607;428226;1322;915057;1584543607;428226;0.1134068;
1584543607;528715;1323;15546;1584543607;528715;0.1134068;
1584543607;629192;1323;116025;1584543607;629192;0.1134068;
1584543607;729772;1323;216605;1584543607;729772;0.1134068;
1584543607;830340;1323;317172;1584543607;830340;0.1134068;
1584543607;930994;1323;417833;1584543607;930994;0.1134068;
1584543608;31584;1323;518413;1584543608;31584;0.1134068;
1584543608;132049;1323;618879;1584543608;132049;0.1134068;
1584543608;232556;1323;719383;1584543608;232556;0.1134068;
1584543608;333052;1323;819885;1584543608;333052;0.1134068;
1584543608;433550;1323;920380;1584543608;433550;0.1134068;
1584543608;534038;1324;20862;1584543608;534038;0.1134068;
1584543608;634486;1324;121316;1584543608;634486;0.1134068;
1584543608;734984;1324;221821;1584543608;734984;0.1185644;
1584543608;835423;1324;322263;1584543608;835423;0.1134068;
1584543608;935975;1324;422804;1584543608;935975;0.1185644;
1584543609;36527;1324;523382;1584543609;36527;0.1185644;
1584543609;137290;1324;624126;1584543609;137290;0.1185644;
1584543609;237772;1324;724623;1584543609;237772;0.1185644;
1584543609;338438;1324;825295;1584543609;338438;0.123722;
1584543609;439187;1324;926055;1584543609;439187;0.123722;
1584543609;539861;1325;26721;1584543609;539861;0.123722;
1584543609;640524;1325;127382;1584543609;640524;0.123722;
1584543609;741295;1325;228158;1584543609;741295;0.123722;
1584543609;841973;1325;328835;1584543609;841973;0.123722;
1584543609;942660;1325;429527;1584543609;942660;0.123722;
1584543610;43353;1325;530219;1584543610;43353;0.123722;
1584543610;144100;1325;631047;1584543610;144100;0.123722;
1584543610;245111;1325;731976;1584543610;245111;0.123722;
1584543610;345950;1325;832817;1584543610;345950;0.123722;
1584543610;446908;1325;933762;1584543610;446908;0.123722;
1584543610;547547;1326;34400;1584543610;547547;0.123722;
1584543610;648271;1326;135140;1584543610;648271;0.123722;
1584543610;748909;1326;235735;1584543610;748909;0.123722;
1584543610;849387;1326;336214;1584543610;849387;0.123722;
1584543610;949869;1326;436722;1584543610;949869;0.123722;
1584543611;50462;1326;537311;1584543611;50462;0.123722;
1584543611;151158;1326;638033;1584543611;151158;0.123722;
1584543611;251761;1326;738610;1584543611;251761;0.123722;
1584543611;352370;1326;839219;1584543611;352370;0.123722;
1584543611;452998;1326;939850;1584543611;452998;0.123722;
1584543611;553610;1327;40462;1584543611;553610;0.123722;
1584543611;654236;1327;141186;1584543611;654236;0.123722;
1584543611;755168;1327;242112;1584543611;755168;0.123722;
1584543611;856069;1327;342926;1584543611;856069;0.123722;
1584543611;956650;1327;443492;1584543611;956650;0.123722;
1584543612;57160;1327;544005;1584543612;57160;0.123722;
1584543612;157647;1327;644489;1584543612;157647;0.123722;
1584543612;258212;1327;745051;1584543612;258212;0.123722;
1584543612;358807;1327;845660;1584543612;358807;0.123722;
1584543612;459518;1327;946368;1584543612;459518;0.123722;
1584543612;560319;1328;47269;1584543612;560319;0.123722;
1584543612;660520;1328;147368;1584543612;660520;0.123722;
1584543612;761332;1328;248177;1584543612;761332;0.123722;
1584543612;861965;1328;348811;1584543612;861965;0.123722;
1584543612;962625;1328;449470;1584543612;962625;0.123722;
1584543613;63288;1328;550137;1584543613;63288;0.123722;
1584543613;163959;1328;650809;1584543613;163959;0.123722;
1584543613;264663;1328;751510;1584543613;264663;0.123722;
1584543613;365286;1328;852135;1584543613;365286;0.123722;
1584543613;465783;1328;952633;1584543613;465783;0.123722;
1584543613;566324;1329;53160;1584543613;566324;0.123722;
1584543613;666870;1329;153710;1584543613;666870;0.123722;
1584543613;767416;1329;254248;1584543613;767416;0.123722;
1584543613;867936;1329;354780;1584543613;867936;0.123722;
1584543613;968544;1329;455379;1584543613;968544;0.123722;
1584543614;69105;1329;555943;1584543614;69105;0.123722;
1584543614;169671;1329;656524;1584543614;169671;0.123722;
1584543614;270218;1329;757062;1584543614;270218;0.123722;
1584543614;370870;1329;857775;1584543614;370870;0.123722;
1584543614;471499;1329;958334;1584543614;471499;0.123722;
1584543614;572018;1330;58852;1584543614;572018;0.123722;
1584543614;672515;1330;159357;1584543614;672515;0.123722;
1584543614;773050;1330;259888;1584543614;773050;0.123722;
1584543614;873600;1330;360436;1584543614;873600;0.123722;
1584543614;974145;1330;460979;1584543614;974145;0.123722;
1584543615;74770;1330;561608;1584543615;74770;0.123722;
1584543615;175317;1330;662145;1584543615;175317;0.123722;
1584543615;275792;1330;762637;1584543615;275792;0.123722;
1584543615;376411;1330;863256;1584543615;376411;0.123722;
1584543615;477023;1330;963866;1584543615;477023;0.1185644;
1584543615;577676;1331;64517;1584543615;577676;0.1134068;
1584543615;678848;1331;165685;1584543615;678848;0.1185644;
1584543615;781113;1331;267958;1584543615;781113;0.1185644;
1584543615;881655;1331;368491;1584543615;881655;0.1185644;
1584543615;982161;1331;469001;1584543615;982161;0.1185644;
1584543616;82647;1331;569482;1584543616;82647;0.1185644;
1584543616;183247;1331;670189;1584543616;183247;0.1185644;
1584543616;284179;1331;771014;1584543616;284179;0.1185644;
1584543616;384694;1331;871544;1584543616;384694;0.1134068;
1584543616;485173;1331;972010;1584543616;485173;0.09794915;
1584543616;585719;1332;72558;1584543616;585719;0.08249153;
1584543616;686253;1332;173085;1584543616;686253;0.08249153;
1584543616;786773;1332;273614;1584543616;786773;0.08249153;
