sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543601;597264;1317;92719;1584543601;597216;0.008351648;
1584543601;701256;1317;198159;1584543601;701206;0.005714286;
1584543601;802567;1317;299294;1584543601;802509;0.006593407;
1584543601;903804;1317;395868;1584543601;903756;0.005274725;
1584543602;5053;1317;495808;1584543602;5004;0.005714286;
1584543602;105978;1317;602474;1584543602;105919;0.005714286;
1584543602;207861;1317;707658;1584543602;207813;0.01230769;
1584543602;312458;1317;803261;1584543602;312402;0.005714286;
1584543602;412157;1317;902927;1584543602;412107;0.01714286;
1584543602;513352;1318;10341;1584543602;513304;0.005714286;
1584543602;613982;1318;109773;1584543602;613937;0.005274725;
1584543602;715029;1318;210579;1584543602;714332;0.005714286;
1584543602;815226;1318;306024;1584543602;815177;0.006153846;
1584543602;915885;1318;408597;1584543602;915799;0.01538462;
1584543603;16584;1318;507277;1584543603;16535;0.005714286;
1584543603;119541;1318;610349;1584543603;119484;0.005274725;
1584543603;219531;1318;711649;1584543603;219482;0.01142857;
1584543603;320110;1318;810927;1584543603;320062;0.005274725;
1584543603;420756;1318;915707;1584543603;420708;0.02461538;
1584543603;525975;1319;16745;1584543603;521364;0.005714286;
1584543603;624162;1319;114955;1584543603;624112;0.005714286;
1584543603;724949;1319;215666;1584543603;724901;0.005714286;
1584543603;825132;1319;319968;1584543603;825086;0.006153846;
1584543603;925504;1319;417910;1584543603;925460;0.005714286;
1584543604;27158;1319;517973;1584543604;27109;0.005714286;
1584543604;127485;1319;619654;1584543604;127436;0.006153846;
1584543604;228382;1319;720603;1584543604;228335;0.01494505;
1584543604;329088;1319;821643;1584543604;329043;0.005714286;
1584543604;430295;1319;922461;1584543604;430247;0.005714286;
1584543604;530709;1320;21494;1584543604;530663;0.005714286;
1584543604;630947;1320;123079;1584543604;630899;0.005714286;
1584543604;731546;1320;223580;1584543604;731497;0.005274725;
1584543604;832056;1320;324338;1584543604;832005;0.005714286;
1584543604;933107;1320;425932;1584543604;933055;0.005714286;
1584543605;34023;1320;526260;1584543605;33967;0.005714286;
1584543605;135526;1320;626429;1584543605;135478;0.005714286;
1584543605;235939;1320;728471;1584543605;235898;0.005714286;
1584543605;336891;1320;831220;1584543605;336844;0.005714286;
1584543605;438917;1320;929771;1584543605;438861;0.005274725;
1584543605;548827;1321;41240;1584543605;548770;0.01494505;
1584543605;647434;1321;138321;1584543605;647386;0.01142857;
1584543605;748618;1321;243855;1584543605;748571;0.005714286;
1584543605;850431;1321;341275;1584543605;850378;0.005274725;
1584543605;951415;1321;442253;1584543605;951368;0.005714286;
1584543606;56504;1321;547283;1584543606;56438;0.006593407;
1584543606;153030;1321;654841;1584543606;152981;0.007032967;
1584543606;263303;1321;754129;1584543606;263234;0.005714286;
1584543606;363158;1321;858337;1584543606;363093;0.007912087;
1584543606;469394;1321;961695;1584543606;469326;0.005714286;
1584543606;572175;1322;64697;1584543606;572107;0.01450549;
1584543606;678373;1322;169332;1584543606;675770;0.007032967;
1584543606;771951;1322;262887;1584543606;771909;0.005714286;
1584543606;872283;1322;364692;1584543606;872233;0.005274725;
1584543606;973297;1322;465743;1584543606;973256;0.006153846;
1584543607;74896;1322;569500;1584543607;74838;0.005714286;
1584543607;174958;1322;667188;1584543607;174914;0.007912087;
1584543607;275670;1322;766480;1584543607;275621;0.006153846;
1584543607;375899;1322;868310;1584543607;375856;0.005714286;
1584543607;476717;1322;969267;1584543607;476668;0.009230769;
1584543607;579172;1323;71525;1584543607;579123;0.005714286;
1584543607;680602;1323;174219;1584543607;680545;0.006153846;
1584543607;781235;1323;275151;1584543607;781187;0.007472527;
1584543607;881996;1323;375233;1584543607;881940;0.005714286;
1584543607;982524;1323;475148;1584543607;982464;0.005714286;
1584543608;82646;1323;574694;1584543608;82602;0.005714286;
1584543608;186976;1323;686052;1584543608;186928;0.005714286;
1584543608;288313;1323;781949;1584543608;288207;0.005714286;
1584543608;389111;1323;882388;1584543608;389054;0.006153846;
1584543608;489040;1323;981512;1584543608;488999;0.005714286;
1584543608;589957;1324;82191;1584543608;589904;0.006153846;
1584543608;690638;1324;184073;1584543608;690590;0.01186813;
1584543608;793281;1324;292394;1584543608;793221;0.005714286;
1584543608;896734;1324;392286;1584543608;892686;0.006153846;
1584543608;992309;1324;483115;1584543608;992260;0.01318681;
1584543609;101054;1324;592642;1584543609;100982;0.005714286;
1584543609;200669;1324;691446;1584543609;200621;0.005274725;
1584543609;302775;1324;793627;1584543609;302717;0.005714286;
