sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;altitude;heading;
1584543601;610941;1317;104252;1584543601;610941;0;0;0;2.960765;
1584543601;714751;1317;208659;1584543601;714751;0;0;0;2.95717;
1584543601;800389;1317;304616;1584543601;800389;0;0;0;2.953772;
1584543601;887782;1317;380423;1584543601;887782;0;0;0;2.950222;
1584543601;927057;1317;420458;1584543601;927057;0;0;0;2.946445;
1584543602;17209;1317;511001;1584543602;17209;0;0;0;2.942931;
1584543602;121194;1317;615933;1584543602;121194;0;0;0;2.939393;
1584543602;289460;1317;783475;1584543602;289460;0;0;0;2.936304;
1584543602;330856;1317;825422;1584543602;330856;0;0;0;2.932553;
1584543602;428118;1317;923230;1584543602;428118;0;0;0;2.929089;
1584543602;521457;1318;15478;1584543602;521457;0;0;0;2.925558;
1584543602;595972;1318;98427;1584543602;595972;0;0;0;2.922028;
1584543602;635405;1318;128936;1584543602;635405;0;0;0;2.918219;
1584543602;729557;1318;223308;1584543602;729557;0;0;0;2.914731;
1584543602;823307;1318;317785;1584543602;823307;0;0;0;2.911185;
1584543602;899076;1318;402582;1584543602;899076;0;0;0;2.907539;
1584543602;938487;1318;432246;1584543602;938487;0;0;0;2.903723;
1584543603;26357;1318;519260;1584543603;26357;0;0;0;2.900207;
1584543603;114943;1318;617840;1584543603;114943;0;0;0;2.89658;
1584543603;195907;1318;688982;1584543603;195907;0;0;0;2.892881;
1584543603;234720;1318;728878;1584543603;234720;0;0;0;2.889249;
1584543603;330938;1318;825096;1584543603;330938;0;0;0;2.885073;
1584543603;416810;1318;917839;1584543603;416810;0;0;0;2.88158;
1584543603;498432;1318;991213;1584543603;498432;0;0;0;2.87782;
1584543603;537630;1319;31778;1584543603;537630;0;0;0;2.873829;
1584543603;620590;1319;122198;1584543603;620590;0;0;0;2.870421;
1584543603;702560;1319;199047;1584543603;702560;0;0;0;2.866766;
1584543603;738302;1319;231490;1584543603;738302;0;0;0;2.862975;
1584543603;823771;1319;324888;1584543603;823771;0;0;0;2.859406;
1584543603;918521;1319;411641;1584543603;918521;0;0;0;2.856843;
1584543603;997629;1319;491500;1584543603;997629;0;0;0;2.85445;
1584543604;38976;1319;533898;1584543604;38976;0;0;0;2.851813;
1584543604;138888;1319;631355;1584543604;138888;0;0;0;2.849447;
1584543604;223483;1319;721168;1584543604;223483;0;0;0;2.846938;
1584543604;306267;1319;799871;1584543604;306267;0;0;0;2.84565;
1584543604;325033;1319;817421;1584543604;325033;0;0;0;2.842321;
1584543604;347206;1319;839462;1584543604;347206;0;0;0;2.838884;
1584543604;361321;1319;853664;1584543604;361321;0;0;0;2.835744;
1584543604;375302;1319;867500;1584543604;375302;0;0;0;2.833838;
1584543604;388585;1319;880945;1584543604;388585;0;0;0;2.830536;
1584543604;423590;1319;916579;1584543604;423590;0;0;0;2.827754;
1584543604;492310;1319;984665;1584543604;492310;0;0;0;2.826103;
1584543604;528411;1320;26666;1584543604;528411;0;0;0;2.822459;
1584543604;626213;1320;118815;1584543604;626213;0;0;0;2.818228;
1584543604;694794;1320;187387;1584543604;694794;0;0;0;2.815456;
1584543604;738243;1320;230658;1584543604;738243;0;0;0;2.812391;
1584543604;834989;1320;330859;1584543604;834989;0;0;0;2.809448;
1584543604;909965;1320;404364;1584543604;909965;0;0;0;2.807469;
1584543604;953864;1320;446471;1584543604;953864;0;0;0;2.805573;
1584543605;42566;1320;535259;1584543605;42566;0;0;0;2.805476;
1584543605;116979;1320;609755;1584543605;116979;0;0;0;2.811064;
1584543605;143715;1320;636636;1584543605;143715;0;0;0;2.813349;
1584543605;159904;1320;653884;1584543605;159904;0;0;0;2.817155;
1584543605;199321;1320;691961;1584543605;199321;0;0;0;2.824034;
1584543605;270695;1320;763707;1584543605;270695;0;0;0;2.845032;
1584543605;287203;1320;779792;1584543605;287203;0;0;0;2.850061;
1584543605;307096;1320;799365;1584543605;307096;0;0;0;2.855487;
1584543605;342732;1320;835389;1584543605;342732;0;0;0;2.85891;
1584543605;418225;1320;910462;1584543605;418225;0;0;0;2.872074;
1584543605;447597;1320;940381;1584543605;447597;0;0;0;2.873221;
1584543605;520639;1321;12985;1584543605;520639;0;0;0;2.878599;
1584543605;554729;1321;47744;1584543605;554729;0;0;0;2.877524;
1584543605;627222;1321;123728;1584543605;627222;0;0;0;2.876709;
1584543605;654164;1321;146714;1584543605;654164;0;0;0;2.872335;
1584543605;668575;1321;160975;1584543605;668575;0;0;0;2.871243;
1584543605;688118;1321;181397;1584543605;688118;0;0;0;2.869282;
1584543605;706068;1321;198794;1584543605;706068;0;0;0;2.867003;
1584543605;724153;1321;217307;1584543605;724153;0;0;0;2.866875;
1584543605;758023;1321;250600;1584543605;758023;0;0;0;2.864586;
1584543605;826699;1321;319507;1584543605;826699;0;0;0;2.866952;
1584543605;852722;1321;345234;1584543605;852722;0;0;0;2.865922;
1584543605;868433;1321;360877;1584543605;868433;0;0;0;2.865267;
1584543605;882778;1321;375020;1584543605;882778;0;0;0;2.86555;
1584543605;908252;1321;401035;1584543605;908252;0;0;0;2.864182;
1584543605;927324;1321;425481;1584543605;927324;0;0;0;2.863144;
1584543605;954012;1321;447218;1584543605;954012;0;0;0;2.865428;
1584543605;969100;1321;461502;1584543605;969100;0;0;0;2.866994;
1584543605;985079;1321;477520;1584543605;985079;0;0;0;2.870484;
1584543606;5084;1321;497496;1584543606;5084;0;0;0;2.87329;
