sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543602;90396;1317;581168;1584543602;90324;7.346153;
1584543603;87709;1318;579951;1584543603;87612;7.336483;
1584543604;88787;1319;581246;1584543604;88745;7.331648;
1584543605;97266;1320;589496;1584543605;97201;7.321978;
1584543606;91526;1321;584697;1584543606;91483;7.312307;
1584543607;92293;1322;584791;1584543607;92252;7.312307;
1584543608;95554;1323;586352;1584543608;95483;7.331648;
1584543609;106452;1324;598585;1584543609;106406;7.336483;
1584543610;107116;1325;601623;1584543610;107069;7.326813;
1584543611;109181;1326;605730;1584543611;109134;7.312307;
1584543612;110982;1327;603473;1584543612;110935;7.326813;
1584543613;112534;1328;606077;1584543613;112479;7.336483;
1584543614;112695;1329;605201;1584543614;112654;7.326813;
1584543615;115287;1330;607408;1584543615;115232;7.297802;
1584543616;116008;1331;606799;1584543616;115960;7.326813;
1584543617;119368;1332;610196;1584543617;119307;7.268791;
1584543618;117638;1333;609974;1584543618;117591;7.283297;
1584543619;119369;1334;615316;1584543619;119324;7.321978;
1584543620;120501;1335;615788;1584543620;120445;7.331648;
1584543621;123699;1336;615219;1584543621;123638;7.307473;
1584543622;124593;1337;621372;1584543622;124531;7.326813;
1584543623;124796;1338;617091;1584543623;124749;7.326813;
1584543624;125911;1339;622034;1584543624;125868;7.331648;
1584543625;126733;1340;618679;1584543625;126691;7.259121;
1584543626;127281;1341;619461;1584543626;127233;7.297802;
1584543627;128064;1342;618928;1584543627;128023;7.317143;
1584543628;128557;1343;621468;1584543628;128511;7.331648;
1584543629;130338;1344;621193;1584543629;130283;7.292967;
1584543630;132574;1345;623458;1584543630;132528;7.317143;
1584543631;133062;1346;625494;1584543631;133020;7.312307;
1584543632;134279;1347;625178;1584543632;134236;7.321978;
1584543633;134797;1348;627111;1584543633;134754;7.317143;
1584543634;135658;1349;627884;1584543634;135616;7.326813;
1584543635;136503;1350;629017;1584543635;136462;7.297802;
1584543636;138597;1351;630892;1584543636;138550;7.317143;
1584543637;139335;1352;631898;1584543637;139286;7.297802;
1584543638;141472;1353;635792;1584543638;141429;7.24945;
1584543639;143581;1354;634334;1584543639;143536;7.307473;
1584543640;146350;1355;641710;1584543640;146297;7.317143;
1584543641;145297;1356;637643;1584543641;145249;7.331648;
1584543642;146451;1357;638742;1584543642;146409;7.321978;
1584543643;147371;1358;639562;1584543643;147330;7.317143;
1584543644;151236;1359;641987;1584543644;151176;7.292967;
1584543645;149644;1360;641645;1584543645;149603;7.302637;
1584543646;150421;1361;642869;1584543646;150379;7.312307;
1584543647;151524;1362;643738;1584543647;151483;7.24945;
1584543648;155028;1363;645784;1584543648;154964;7.312307;
1584543649;154769;1364;647767;1584543649;154717;7.326813;
1584543650;155229;1365;647415;1584543650;155183;7.321978;
1584543651;156102;1366;648532;1584543651;156060;7.326813;
1584543652;157190;1367;649739;1584543652;157149;7.321978;
1584543653;158630;1368;650830;1584543653;158587;7.321978;
1584543654;159496;1369;651690;1584543654;159454;7.307473;
1584543655;161127;1370;653447;1584543655;161068;7.292967;
1584543656;161127;1371;653511;1584543656;161085;7.317143;
1584543657;163033;1372;653801;1584543657;162989;7.317143;
1584543658;163513;1373;655605;1584543658;163472;7.317143;
1584543659;164301;1374;659004;1584543659;164258;7.321978;
1584543660;164774;1375;655593;1584543660;164731;7.307473;
1584543661;166119;1376;658340;1584543661;166071;7.278461;
1584543662;166787;1377;657644;1584543662;166744;7.321978;
1584543663;169475;1378;661847;1584543663;169429;7.297802;
1584543664;175200;1379;667161;1584543664;175137;7.312307;
1584543665;173189;1380;666238;1584543665;173143;7.263956;
1584543666;173944;1381;666063;1584543666;173892;7.138242;
1584543667;175109;1382;666915;1584543667;175061;7.321978;
1584543668;175600;1383;666483;1584543668;175559;7.317143;
1584543669;176140;1384;668478;1584543669;176099;7.312307;
1584543670;177153;1385;669492;1584543670;177112;7.307473;
1584543671;179192;1386;671645;1584543671;179133;7.307473;
1584543672;179361;1387;670228;1584543672;179319;7.312307;
1584543673;179746;1388;670583;1584543673;179704;7.181758;
1584543674;180459;1389;672621;1584543674;180413;7.312307;
1584543675;182443;1390;684571;1584543675;182396;7.292967;
1584543676;183703;1391;676277;1584543676;183655;7.312307;
1584543677;184806;1392;682864;1584543677;184764;7.312307;
1584543678;187253;1393;677980;1584543678;187194;7.326813;
1584543679;186704;1394;678883;1584543679;186663;7.307473;
1584543680;188387;1395;679079;1584543680;188337;7.302637;
1584543681;189116;1396;681420;1584543681;189068;7.312307;
1584543682;194446;1397;685180;1584543682;194393;7.331648;
1584543683;190844;1398;681548;1584543683;190795;7.326813;
