sent.seconds,sent.microseconds,received.seconds,received.microseconds,sampleTimeStamp.seconds,sampleTimeStamp.microseconds,groundSteering5,groundSteering4,groundSteering3,groundSteering2,groundSteering1
1584543607,629427,1323,116250,1584543607,629427,0.1139601,-0.2519071,-0.08096252,0.290888,0
1584543607,730002,1323,216819,1584543607,730002,0.1139601,-0.1919309,-0.0779708,0,0
1584543607,830574,1323,317396,1584543607,830574,0.1169607,-0.1739362,-0.08096252,0,-0.1139512
1584543607,931238,1323,418063,1584543607,931238,0.1709445,-0.1769368,-0.08096252,0,0
1584543608,31781,1323,518580,1584543608,31781,0.1409564,-0.1559416,-0.08996427,-0.290888,-0.01798575
1584543608,132274,1323,619072,1584543608,132274,0.1229618,-0.0779708,-0.08996427,-0.290888,-0.05097442
1584543608,232758,1323,719555,1584543608,232758,0.1109684,0,-0.09296485,0,0
1584543608,333274,1323,820083,1584543608,333274,0.01200234,0,-0.09895714,0,0
1584543608,433751,1323,920545,1584543608,433751,0,0.07797969,-0.09895714,-0.06596847,0
1584543608,534233,1324,21028,1584543608,534233,0,0.1889392,-0.1139512,-0.1229529,-0.08996427
1584543608,634702,1324,121510,1584543608,634702,0,0,-0.152941,0,-0.1439482
1584543608,735192,1324,221975,1584543608,735192,0,0,-0.1559416,-0.05697559,-0.1859297
1584543608,835668,1324,322471,1584543608,835668,0,0,-0.1679351,-0.1349464,-0.1799285
1584543608,936187,1324,423000,1584543608,936187,0,0,-0.2189184,-0.1169518,-0.08996427
1584543609,36895,1324,523753,1584543609,36895,0,0,-0.2489065,-0.1139512,0
1584543609,137507,1324,624292,1584543609,137507,0,0,-0.2459059,-0.1499404,0
1584543609,238095,1324,724883,1584543609,238095,0,0,-0.2159178,-0.137947,0
1584543609,338764,1324,825556,1584543609,338764,0,0,-0.1799285,0,0
1584543609,439555,1324,926358,1584543609,439555,0,-0.1619339,-0.1829291,0.01200234,-0.02398692
1584543609,540235,1325,27030,1584543609,540235,0,0,-0.1709357,0.009001753,-0.1469399
1584543609,640862,1325,127659,1584543609,640862,0,0,-0.09296485,0.02099521,0
1584543609,741663,1325,228463,1584543609,741663,0,0,0,0.01200234,0
1584543609,842335,1325,329138,1584543609,842335,0,0,0,0,0
1584543609,943036,1325,429835,1584543609,943036,0,0,0,0,0
1584543610,43733,1325,530531,1584543610,43733,0,0,0.0749791,0.03898985,0.1469487
1584543610,144589,1325,631500,1584543610,144589,0,-0.1079589,0.05998505,0.0479916,0
1584543610,245481,1325,732352,1584543610,245481,-0.01199346,0,0,0,0
1584543610,346382,1325,833274,1584543610,346382,-0.02398692,0,0,0.01500292,0
1584543610,447240,1325,934035,1584543610,447240,-0.0779708,0,0,0.01200234,0.1619428
1584543610,547871,1326,34662,1584543610,547871,-0.0779708,0.0239958,0,0.003000584,0.143957
1584543610,648625,1326,135422,1584543610,648625,-0.1199524,0.290888,0,0.03298867,0.09297372
1584543610,749109,1326,235899,1584543610,749109,-0.1499404,0.290888,0,0.05998505,0.05698447
1584543610,849585,1326,336366,1584543610,849585,-0.1169518,0,0,0.05698447,0.02699638
1584543610,950169,1326,436958,1584543610,950169,-0.04198155,0,0,0.05698447,0.01799463
1584543611,50761,1326,537552,1584543611,50761,-0.02098634,0,0,0.08697256,0.01200234
1584543611,151484,1326,638280,1584543611,151484,0,-0.236913,0,0.05398389,0.05998505
1584543611,252068,1326,738865,1584543611,252068,0,0,0,0.02699638,0.08097139
1584543611,352683,1326,839489,1584543611,352683,0,0,0,0.09597431,0.08997314
1584543611,453307,1326,940104,1584543611,453307,0,0,0,0.1079678,0.2069338
1584543611,553897,1327,40695,1584543611,553897,0,0,0,0.143957,0.2369219
1584543611,654696,1327,141561,1584543611,654696,0,0.290888,0,0.1469487,0.2429142
1584543611,755635,1327,242513,1584543611,755635,0.05698447,0,0,0.143957,0.09597431
1584543611,856373,1327,343155,1584543611,856373,0.05698447,0,0,0.1409564,0.01799463
1584543611,956903,1327,443697,1584543611,956903,0.05698447,0,0,0.0509833,0
1584543612,57394,1327,544185,1584543612,57394,0.07797969,0,0,0,0.01200234
1584543612,157913,1327,644724,1584543612,157913,0.07797969,0,0,0,0.0509833
1584543612,258481,1327,745286,1584543612,258481,0.07797969,0,0,0,0.0509833
1584543612,359154,1327,845982,1584543612,359154,0.07797969,0,0,0,0.003000584
1584543612,459855,1327,946680,1584543612,459855,0.06298564,0,0,0,0.0239958
1584543612,560828,1328,47905,1584543612,560828,0.06298564,-0.1499404,0,0.01500292,0.02999697
1584543612,660835,1328,147776,1584543612,660835,0.06298564,0,0,0.0749791,0.01200234
1584543612,761629,1328,248450,1584543612,761629,0.06298564,0,0,0.0749791,0
1584543612,862274,1328,349107,1584543612,862274,0.06298564,0,0,0.0749791,0
