sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;distance;
1584542901;944753;617;435234;1584542901;944676;3.5;
1584542902;47974;617;538874;1584542902;47905;3.5;
1584542902;148957;617;639392;1584542902;148881;3.5;
1584542902;247989;617;739982;1584542902;247872;3.49;
1584542902;349532;617;840012;1584542902;349461;3.49;
1584542902;450581;617;941007;1584542902;450339;3.5;
1584542902;550019;618;40456;1584542902;549946;2.77;
1584542902;656840;618;149113;1584542902;656570;3.04;
1584542902;751559;618;242011;1584542902;751483;3.49;
1584542902;852751;618;343217;1584542902;852675;3.51;
1584542902;954868;618;445839;1584542902;954799;3.49;
1584542903;55167;618;545566;1584542903;55100;3.5;
1584542903;155296;618;645649;1584542903;155229;3.51;
1584542903;255446;618;745894;1584542903;255376;2.45;
1584542903;358289;618;848635;1584542903;358218;3.49;
1584542903;458624;618;949011;1584542903;458553;3.5;
1584542903;557464;619;47987;1584542903;557395;3.5;
1584542903;658391;619;148796;1584542903;658321;3.52;
1584542903;759429;619;249884;1584542903;759353;3.49;
1584542903;862471;619;352836;1584542903;862398;3.5;
1584542903;962111;619;454000;1584542903;961992;3.55;
1584542904;63449;619;555212;1584542904;63375;3.55;
1584542904;163949;619;654240;1584542904;163879;2.54;
1584542904;266632;619;756976;1584542904;266563;2.61;
1584542904;870000;620;360473;1584542904;869923;1.1;
1584542904;971203;620;461700;1584542904;971127;3.99;
1584542905;72920;620;563288;1584542905;72124;2.88;
1584542905;172835;620;663347;1584542905;172759;1.89;
1584542905;274005;620;764392;1584542905;273929;1.95;
1584542905;478451;620;968969;1584542905;477590;2.04;
1584542905;576637;621;66961;1584542905;576566;2.11;
1584542905;679669;621;170201;1584542905;679593;2.16;
1584542905;778904;621;269901;1584542905;778832;1.21;
1584542905;879781;621;371586;1584542905;879704;1.29;
1584542905;980530;621;471028;1584542905;980457;1.38;
1584542906;81980;621;572362;1584542906;81906;1.49;
1584542906;183023;621;673319;1584542906;182953;1.59;
1584542906;287109;621;777614;1584542906;287033;1.7;
1584542906;386002;621;876423;1584542906;385928;1.79;
1584542906;487453;621;977921;1584542906;487377;1.86;
1584542906;588443;622;78801;1584542906;588366;2;
1584542906;789578;622;283317;1584542906;789508;2.04;
1584542906;890088;622;380563;1584542906;890011;2.07;
1584542906;993194;622;483505;1584542906;993126;2.16;
1584542907;92199;622;584512;1584542907;92123;2.2;
1584542907;194602;622;684976;1584542907;194531;2.22;
1584542907;699819;623;193031;1584542907;699750;3.34;
1584542907;798916;623;289391;1584542907;798843;0.72;
1584542907;899884;623;392230;1584542907;899814;1.9;
1584542908;689;623;491030;1584542908;612;1.96;
1584542908;202026;623;692514;1584542908;201950;0.92;
1584542908;403388;623;893719;1584542908;403317;1.12;
1584542908;804584;624;295032;1584542908;804507;1.35;
1584542909;6709;624;497171;1584542909;6633;2.93;
1584542909;309941;624;800329;1584542909;309870;3.28;
1584542909;411500;624;904595;1584542909;411428;3.37;
1584542909;512068;625;4175;1584542909;511994;2.09;
1584542909;718269;625;208631;1584542909;718197;3.11;
1584542909;921024;625;411262;1584542909;920952;3.89;
1584542910;225609;625;716697;1584542910;225541;4.19;
1584542910;329227;625;819550;1584542910;328293;3.75;
1584542911;234883;626;725264;1584542911;234816;0.83;
1584542911;337129;626;827530;1584542911;335868;3.89;
1584542911;437932;626;928389;1584542911;437855;3.39;
1584542911;638884;627;129238;1584542911;638815;1.72;
1584542911;744921;627;237482;1584542911;739051;4.19;
1584542911;843759;627;334096;1584542911;843691;4.41;
1584542912;647461;628;137807;1584542912;647391;4.09;
1584542912;851794;628;342156;1584542912;851726;3.32;
1584542913;860093;629;350387;1584542913;860025;2.03;
1584542913;961188;629;453762;1584542913;961127;1.84;
1584542914;60711;629;552763;1584542914;60642;1.89;
1584542914;158811;629;649166;1584542914;158749;1.95;
1584542914;260528;629;750966;1584542914;260452;2.01;
1584542914;359978;629;850315;1584542914;359920;2.07;
1584542914;458437;629;948866;1584542914;458360;2.15;
1584542914;558936;630;49359;1584542914;558859;2.22;
1584542914;659156;630;149583;1584542914;659080;2.33;
1584542914;760218;630;250484;1584542914;760147;2.37;
1584542914;864520;630;354830;1584542914;864454;2.45;
1584542914;962339;630;452705;1584542914;962265;2.53;
1584542915;66864;630;557245;1584542915;66807;2.63;
1584542915;164949;630;655219;1584542915;164877;2.69;
1584542915;265168;630;757086;1584542915;265099;1.87;
1584542915;366143;630;856468;1584542915;366072;2.87;
1584542915;466813;630;957768;1584542915;466744;2.94;
1584542915;567651;631;58095;1584542915;567581;3.05;
1584542915;668936;631;159306;1584542915;668868;3.11;
1584542915;773602;631;264291;1584542915;773532;2.93;
1584542915;886196;631;376537;1584542915;886133;3.27;
1584542915;971046;631;465430;1584542915;970946;3.36;
1584542916;79638;631;570004;1584542916;79575;3.45;
1584542916;172832;631;663123;1584542916;172762;3.53;
1584542916;275327;631;766509;1584542916;275254;3.66;
1584542916;374615;631;864967;1584542916;374542;3.72;
1584542916;474803;631;965106;1584542916;474729;3.79;
