sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584542902;3390;617;498416;1584542902;3341;0.005714286;
1584542902;104294;617;598738;1584542902;104252;0.006153846;
1584542902;205264;617;701193;1584542902;205214;0.006153846;
1584542902;309970;617;803521;1584542902;309925;0.006593407;
1584542902;407231;617;897610;1584542902;407183;0.006153846;
1584542902;508994;617;999346;1584542902;508944;0.006153846;
1584542902;612676;618;115117;1584542902;611962;0.006593407;
1584542902;711146;618;202713;1584542902;711101;0.006593407;
1584542902;812185;618;305092;1584542902;812129;0.006593407;
1584542902;912435;618;404703;1584542902;912375;0.01274725;
1584542903;12533;618;504513;1584542903;12489;0.006593407;
1584542903;113597;618;605526;1584542903;113555;0.006153846;
1584542903;216208;618;706540;1584542903;216149;0.006593407;
1584542903;316144;618;806502;1584542903;316097;0.01010989;
1584542903;416576;618;908522;1584542903;416534;0.006153846;
1584542903;517444;619;9370;1584542903;517401;0.006593407;
1584542903;662686;619;156360;1584542903;662636;0.006593407;
1584542903;719442;619;212316;1584542903;719400;0.0189011;
1584542903;824259;619;318970;1584542903;824190;0.01494505;
1584542903;922869;619;414601;1584542903;922826;0.0210989;
1584542904;23527;619;515172;1584542904;23480;0.006593407;
1584542904;124155;619;616134;1584542904;124113;0.006153846;
1584542904;225181;619;717329;1584542904;225140;0.006593407;
1584542904;326421;619;818219;1584542904;326379;0.006153846;
1584542904;427543;619;917897;1584542904;427496;0.006593407;
1584542904;528168;620;23124;1584542904;528119;0.006153846;
1584542904;634665;620;125042;1584542904;631807;0.006593407;
1584542904;741520;620;238377;1584542904;741455;0.006153846;
1584542904;834993;620;325355;1584542904;834943;0.005714286;
1584542904;938112;620;428475;1584542904;938044;0.005714286;
1584542905;35792;620;537825;1584542905;35745;0.006593407;
1584542905;136985;620;627351;1584542905;136937;0.01582417;
1584542905;237627;620;741142;1584542905;237579;0.005714286;
1584542905;338996;620;830398;1584542905;338948;0.005714286;
1584542905;440907;620;931292;1584542905;440860;0.005714286;
1584542905;558440;621;50475;1584542905;558372;0.005274725;
1584542905;642449;621;134381;1584542905;642403;0.005714286;
1584542905;743275;621;233683;1584542905;743228;0.005714286;
1584542905;844475;621;336655;1584542905;844415;0.005714286;
1584542905;946695;621;438320;1584542905;946638;0.006153846;
1584542906;62439;621;554072;1584542906;62380;0.005714286;
1584542906;149212;621;641014;1584542906;149154;0.007032967;
1584542906;249241;621;741198;1584542906;249199;0.005714286;
1584542906;350699;621;842464;1584542906;350649;0.005714286;
1584542906;451918;621;942244;1584542906;451871;0.006153846;
1584542906;552163;622;44155;1584542906;552120;0.005714286;
1584542906;653113;622;143477;1584542906;653066;0.005714286;
1584542906;753383;622;245877;1584542906;753339;0.006153846;
1584542906;856682;622;351347;1584542906;856637;0.005714286;
1584542906;961440;622;452855;1584542906;961375;0.006153846;
1584542907;57841;622;551837;1584542907;57793;0.005714286;
1584542907;158711;622;653296;1584542907;158668;0.01494505;
1584542907;259099;622;753015;1584542907;259054;0.007912087;
1584542907;363870;622;855209;1584542907;363803;0.006153846;
1584542907;463812;622;954166;1584542907;463765;0.01714286;
1584542907;566384;623;57961;1584542907;566312;0.006153846;
1584542907;666814;623;160895;1584542907;666763;0.006153846;
1584542907;767019;623;257374;1584542907;766972;0.005714286;
1584542907;867259;623;357582;1584542907;867211;0.005714286;
1584542907;967614;623;457962;1584542907;967567;0.006153846;
1584542908;69018;623;561092;1584542908;68969;0.005714286;
1584542908;169419;623;660257;1584542908;169373;0.01318681;
1584542908;270522;623;760984;1584542908;270473;0.005274725;
1584542908;371643;623;863228;1584542908;371595;0.006153846;
1584542908;473106;623;964709;1584542908;473058;0.01362637;
1584542908;575069;624;65395;1584542908;575019;0.006153846;
1584542908;674596;624;166316;1584542908;674554;0.006153846;
1584542908;775222;624;266873;1584542908;775171;0.005714286;
1584542908;875936;624;367949;1584542908;875895;0.005714286;
1584542908;978405;624;468909;1584542908;978352;0.01054945;
1584542909;78672;624;569159;1584542909;78628;0.005714286;
1584542909;178996;624;671180;1584542909;178950;0.01098901;
1584542909;280133;624;771917;1584542909;280086;0.006593407;
1584542909;380783;624;871180;1584542909;380737;0.006153846;
1584542909;482061;624;972461;1584542909;482007;0.005714286;
1584542909;582464;625;72835;1584542909;582415;0.006153846;
1584542909;682715;625;174484;1584542909;682672;0.006153846;
1584542909;783448;625;275233;1584542909;783404;0.005714286;
1584542909;884664;625;376526;1584542909;884618;0.007032967;
1584542909;985610;625;477493;1584542909;985568;0.01758242;
1584542910;86614;625;578371;1584542910;86572;0.005714286;
1584542910;187266;625;679023;1584542910;187223;0.005714286;
1584542910;288077;625;780034;1584542910;288035;0.005714286;
1584542910;389078;625;881072;1584542910;389037;0.005714286;
1584542910;490353;625;982135;1584542910;490309;0.01142857;
1584542910;591061;626;82874;1584542910;591013;0.005714286;
1584542910;691973;626;183862;1584542910;691931;0.005714286;
1584542910;792915;626;284898;1584542910;792874;0.005714286;
1584542910;894111;626;385859;1584542910;894068;0.006153846;
1584542910;994754;626;486484;1584542910;994708;0.006153846;
1584542911;95452;626;587210;1584542911;95408;0.006153846;
1584542911;196290;626;688267;1584542911;196248;0.005714286;
1584542911;297422;626;789037;1584542911;297380;0.005714286;
1584542911;399268;626;889671;1584542911;399220;0.005714286;
1584542911;502415;626;992776;1584542911;502359;0.005714286;
1584542911;602918;627;93282;1584542911;602869;0.005714286;
1584542911;703266;627;195019;1584542911;703223;0.0167033;
1584542911;804978;627;295331;1584542911;804931;0.005714286;
1584542911;905397;627;397288;1584542911;905355;0.0167033;
1584542912;6383;627;498126;1584542912;6342;0.005714286;
1584542912;107223;627;598978;1584542912;107181;0.005714286;
