sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;altitude;heading;
1584542901;923036;617;416392;1584542901;923036;0;0;0;2.094433;
1584542902;13560;617;508692;1584542902;13560;0;0;0;2.1059;
1584542902;43368;617;537222;1584542902;43368;0;0;0;2.117079;
1584542902;135373;617;632723;1584542902;135373;0;0;0;2.128508;
1584542902;236086;617;733142;1584542902;236086;0;0;0;2.13989;
1584542902;267070;617;760423;1584542902;267070;0;0;0;2.151077;
1584542902;348665;617;845714;1584542902;348665;0;0;0;2.162434;
1584542902;440209;617;937283;1584542902;440209;0;0;0;2.173713;
1584542902;468172;617;961160;1584542902;468172;0;0;0;2.18484;
1584542902;491488;617;984521;1584542902;491488;0;0;0;2.196127;
1584542902;521166;618;14553;1584542902;521166;0;0;0;2.207382;
1584542902;595400;618;88270;1584542902;595400;0;0;0;2.218778;
1584542902;650249;618;143594;1584542902;650249;0;0;0;2.229927;
1584542902;737405;618;231151;1584542902;737405;0;0;0;2.241525;
1584542902;830854;618;326844;1584542902;830854;0;0;0;2.252846;
1584542902;911132;618;412143;1584542902;911132;0;0;0;2.264156;
1584542902;951365;618;448916;1584542902;951365;0;0;0;2.275317;
1584542903;38267;618;532793;1584542903;38267;0;0;0;2.286742;
1584542903;70515;618;564826;1584542903;70515;0;0;0;2.297868;
1584542903;152307;618;650339;1584542903;152307;0;0;0;2.309277;
1584542903;179238;618;673641;1584542903;179238;0;0;0;2.320401;
1584542903;203112;618;698926;1584542903;203112;0;0;0;2.331616;
1584542903;241985;618;735848;1584542903;241985;0;0;0;2.342859;
1584542903;331949;618;825337;1584542903;331949;0;0;0;2.354283;
1584542903;366646;618;859807;1584542903;366646;0;0;0;2.365416;
1584542903;454016;618;947392;1584542903;454016;0;0;0;2.376857;
1584542903;543839;619;36719;1584542903;543839;0;0;0;2.388118;
1584542903;654377;619;154542;1584542903;654377;0;0;0;2.399441;
1584542903;743788;619;243487;1584542903;743788;0;0;0;2.410814;
1584542903;835248;619;328649;1584542903;835248;0;0;0;2.422735;
1584542903;868607;619;362170;1584542903;868607;0;0;0;2.434709;
1584542903;950437;619;443484;1584542903;950437;0;0;0;2.444769;
1584542903;979924;619;473079;1584542903;979924;0;0;0;2.456253;
1584542904;2504;619;494982;1584542904;2504;0;0;0;2.466166;
1584542904;38342;619;536341;1584542904;38342;0;0;0;2.476219;
1584542904;116037;619;609631;1584542904;116037;0;0;0;2.486488;
1584542904;161370;619;657759;1584542904;161370;0;0;0;2.496738;
1584542904;270069;619;763927;1584542904;270069;0;0;0;2.505244;
1584542904;362227;619;857468;1584542904;362227;0;0;0;2.512334;
1584542904;388259;619;882146;1584542904;388259;0;0;0;2.520741;
1584542904;410793;619;903214;1584542904;410793;0;0;0;2.529704;
1584542904;447644;619;941125;1584542904;447644;0;0;0;2.537842;
1584542904;522333;620;15197;1584542904;522333;0;0;0;2.545018;
1584542904;552132;620;45863;1584542904;552132;0;0;0;2.553188;
1584542904;655114;620;157250;1584542904;655114;0;0;0;2.559559;
1584542904;764533;620;258249;1584542904;764533;0;0;0;2.565814;
1584542904;853918;620;346587;1584542904;853918;0;0;0;2.581266;
1584542904;950808;620;442715;1584542904;950808;0;0;0;2.597698;
1584542905;22021;620;515432;1584542905;22021;0;0;0;2.612045;
1584542905;64665;620;558025;1584542905;64665;0;0;0;2.622845;
1584542905;156317;620;649971;1584542905;156317;0;0;0;2.638209;
1584542905;267229;620;760218;1584542905;267229;0;0;0;2.656089;
1584542905;354571;620;848572;1584542905;354571;0;0;0;2.683368;
1584542905;437578;620;935022;1584542905;437578;0;0;0;2.705596;
1584542905;485418;620;978898;1584542905;485418;0;0;0;2.720828;
1584542905;585067;621;78847;1584542905;585067;0;0;0;2.762739;
1584542905;607930;621;100899;1584542905;607930;0;0;0;2.788547;
1584542905;661163;621;154920;1584542905;661163;0;0;0;2.825004;
1584542905;764607;621;260841;1584542905;764607;0;0;0;2.925604;
1584542905;848222;621;360830;1584542905;848222;0;0;0;3.00618;
1584542905;943421;621;440143;1584542905;943421;0;0;0;3.077331;
1584542906;73480;621;566809;1584542906;73480;0;0;0;3.13081;
1584542906;151783;621;651026;1584542906;151783;0;0;0;-3.111442;
1584542906;186798;621;680852;1584542906;186798;0;0;0;-3.095295;
1584542906;280003;621;773414;1584542906;280003;0;0;0;-3.0613;
1584542906;373044;621;869169;1584542906;373044;0;0;0;-3.03376;
1584542906;477424;621;971302;1584542906;477424;0;0;0;-3.00084;
1584542906;579104;622;73052;1584542906;579104;0;0;0;-2.969937;
1584542906;660952;622;153863;1584542906;660952;0;0;0;-2.946215;
1584542906;746740;622;240093;1584542906;746740;0;0;0;-2.928052;
1584542906;787111;622;284638;1584542906;787111;0;0;0;-2.917451;
1584542906;875105;622;371461;1584542906;875105;0;0;0;-2.892962;
1584542906;966750;622;462467;1584542906;966750;0;0;0;-2.876775;
1584542906;998338;622;491850;1584542906;998338;0;0;0;-2.866129;
1584542907;84073;622;578193;1584542907;84073;0;0;0;-2.843506;
1584542907;110307;622;602739;1584542907;110307;0;0;0;-2.830526;
1584542907;190364;622;688343;1584542907;190364;0;0;0;-2.81104;
1584542907;216538;622;713906;1584542907;216538;0;0;0;-2.798421;
1584542907;299199;622;792129;1584542907;299199;0;0;0;-2.774288;
1584542907;320031;622;814346;1584542907;320031;0;0;0;-2.761964;
1584542907;350316;622;843121;1584542907;350316;0;0;0;-2.747715;
1584542907;387567;622;880831;1584542907;387567;0;0;0;-2.730198;
1584542907;471094;622;966963;1584542907;471094;0;0;0;-2.696374;
1584542907;559503;623;59091;1584542907;559503;0;0;0;-2.672327;
1584542907;639324;623;132255;1584542907;639324;0;0;0;-2.644224;
1584542907;698096;623;193656;1584542907;698096;0;0;0;-2.629152;
1584542907;784936;623;282070;1584542907;784936;0;0;0;-2.581279;
1584542907;875796;623;371339;1584542907;875796;0;0;0;-2.551245;
1584542907;905972;623;400196;1584542907;905972;0;0;0;-2.541541;
1584542907;995548;623;488296;1584542907;995548;0;0;0;-2.527229;
1584542908;83694;623;580715;1584542908;83694;0;0;0;-2.519025;
1584542908;160316;623;653780;1584542908;160316;0;0;0;-2.511219;
1584542908;252775;623;746428;1584542908;252775;0;0;0;-2.503833;
1584542908;285216;623;782808;1584542908;285216;0;0;0;-2.501635;
1584542908;365031;623;864588;1584542908;365031;0;0;0;-2.516011;
1584542908;401492;623;897389;1584542908;401492;0;0;0;-2.515532;
1584542908;496495;623;990076;1584542908;496495;0;0;0;-2.517508;
