sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1584542901;930549;617;417375;1584542901;930549;-0;
1584542902;31093;617;518050;1584542902;31093;-0;
1584542902;132049;617;618998;1584542902;132049;-0;
1584542902;232943;617;719767;1584542902;232943;-0;
1584542902;333406;617;820246;1584542902;333406;-0;
1584542902;433859;617;920683;1584542902;433859;-0;
1584542902;534304;618;21136;1584542902;534304;-0;
1584542902;634803;618;121651;1584542902;634803;-0;
1584542902;735280;618;222111;1584542902;735280;-0;
1584542902;835739;618;322561;1584542902;835739;-0;
1584542902;936233;618;423200;1584542902;936233;-0;
1584542903;37200;618;524062;1584542903;37200;-0;
1584542903;137818;618;624645;1584542903;137818;0.005157628;
1584542903;238305;618;725131;1584542903;238305;0.03093051;
1584542903;338954;618;825781;1584542903;338954;0.03608814;
1584542903;439527;618;926363;1584542903;439527;0.04640339;
1584542903;540054;619;26877;1584542903;540054;0.0876339;
1584542903;640504;619;127329;1584542903;640504;0.09794915;
1584542903;741213;619;228143;1584542903;741213;0.1391797;
1584542903;842301;619;329126;1584542903;842301;0.1598102;
1584542903;942827;619;429648;1584542903;942827;0.1649678;
1584542904;43283;619;530109;1584542904;43283;0.1649678;
1584542904;143937;619;630772;1584542904;143937;0.06701865;
1584542904;244461;619;731290;1584542904;244461;0.06701865;
1584542904;345151;619;831974;1584542904;345151;0.08249153;
1584542904;445600;619;932433;1584542904;445600;0.08249153;
1584542904;546160;620;33089;1584542904;546160;0.08249153;
1584542904;647129;620;133963;1584542904;647129;0.08249153;
1584542904;747683;620;234507;1584542904;747683;0.09279153;
1584542904;848152;620;334979;1584542904;848152;0.1031068;
1584542904;948784;620;435608;1584542904;948784;0.1082644;
1584542905;49231;620;536058;1584542905;49231;0.1134068;
1584542905;149713;620;636539;1584542905;149713;0.1443373;
1584542905;250185;620;737028;1584542905;250185;0.1494949;
1584542905;350890;620;837959;1584542905;350890;0.1494949;
1584542905;451414;620;938250;1584542905;451414;0.1494949;
1584542905;552023;621;38852;1584542905;552023;0.1494949;
1584542905;652560;621;139384;1584542905;652560;0.1494949;
1584542905;753070;621;239936;1584542905;753070;0.1494949;
1584542905;853681;621;340526;1584542905;853681;0.1391797;
1584542905;954354;621;441279;1584542905;954354;0.05156102;
1584542906;54971;621;541812;1584542906;54971;0.04640339;
1584542906;155695;621;642631;1584542906;155695;0.05670339;
1584542906;256583;621;743430;1584542906;256583;0.06701865;
1584542906;357452;621;844302;1584542906;357452;0.07217628;
1584542906;458167;621;944998;1584542906;458167;0.07217628;
1584542906;558697;622;45527;1584542906;558697;0.0773339;
1584542906;659225;622;146085;1584542906;659225;0.0773339;
1584542906;759767;622;246591;1584542906;759767;0.08249153;
1584542906;860268;622;347093;1584542906;860268;0.08249153;
1584542906;960823;622;447649;1584542906;960823;0.08249153;
1584542907;61464;622;548294;1584542907;61464;0.1082644;
1584542907;162013;622;648841;1584542907;162013;0.1082644;
1584542907;262521;622;749360;1584542907;262521;0.1082644;
1584542907;363120;622;849945;1584542907;363120;0.1082644;
