sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;magneticFieldX;magneticFieldY;magneticFieldZ;
1584542901;916036;617;409288;1584542901;916036;311.8958;-53.41282;-10.96429;
1584542901;998185;617;491460;1584542901;998185;310.4949;-53.76307;-9.614835;
1584542902;33883;617;529534;1584542902;33883;310.4949;-53.76307;-9.614835;
1584542902;123681;617;617034;1584542902;123681;310.4949;-53.76307;-9.614835;
1584542902;225029;617;718380;1584542902;225029;310.67;-52.5372;-9.446154;
1584542902;258385;617;751136;1584542902;258385;310.67;-52.5372;-9.446154;
1584542902;337184;617;834228;1584542902;337184;311.8958;-53.41282;-7.928022;
1584542902;427996;617;926073;1584542902;427996;311.8958;-53.41282;-7.928022;
1584542902;460684;617;953558;1584542902;460684;311.8958;-53.41282;-7.928022;
1584542902;484249;617;977098;1584542902;484249;312.071;-52.88745;-10.7956;
1584542902;504278;618;6965;1584542902;504278;312.071;-52.88745;-10.7956;
1584542902;588181;618;81249;1584542902;588181;312.7715;-52.5372;-9.446154;
1584542902;608301;618;136289;1584542902;608301;312.7715;-52.5372;-9.446154;
1584542902;725971;618;219252;1584542902;725971;312.7715;-52.5372;-9.446154;
1584542902;823583;618;316867;1584542902;823583;311.5456;-53.06258;-9.614835;
1584542902;903511;618;396607;1584542902;903511;311.5456;-53.06258;-9.614835;
1584542902;939086;618;432791;1584542902;939086;311.0202;-53.58795;-8.096704;
1584542903;30366;618;522280;1584542903;30366;311.0202;-53.58795;-8.096704;
1584542903;63473;618;557065;1584542903;63473;311.0202;-53.58795;-8.096704;
1584542903;141167;618;635586;1584542903;141167;311.3705;-53.58795;-10.7956;
1584542903;171643;618;665853;1584542903;171643;311.3705;-53.58795;-10.7956;
1584542903;195811;618;689635;1584542903;195811;311.1954;-53.41282;-11.63901;
1584542903;230748;618;723434;1584542903;230748;311.1954;-53.41282;-11.63901;
1584542903;324364;618;818131;1584542903;324364;309.9695;-53.2377;-11.80769;
1584542903;355332;618;852567;1584542903;355332;309.9695;-53.2377;-11.80769;
1584542903;442953;618;935884;1584542903;442953;313.6471;-54.11332;-9.614835;
1584542903;533039;619;25962;1584542903;533039;313.6471;-54.11332;-9.614835;
1584542903;643294;619;136159;1584542903;643294;311.1954;-52.36208;-9.952198;
1584542903;734059;619;227362;1584542903;734059;311.1954;-52.36208;-9.952198;
1584542903;819535;619;320268;1584542903;819535;-134.8455;59.19191;0;
1584542903;857903;619;350917;1584542903;857903;-134.8455;59.19191;0;
1584542903;939103;619;434911;1584542903;939103;324.1545;-164.0912;-214.0566;
1584542903;971749;619;465696;1584542903;971749;324.1545;-164.0912;-214.0566;
1584542903;994909;619;487845;1584542903;994909;324.1545;-164.0912;-214.0566;
1584542904;15031;619;509471;1584542904;15031;324.1545;-164.0912;-214.0566;
1584542904;109578;619;603117;1584542904;109578;68.29836;93.16597;180.8264;
1584542904;150449;619;643439;1584542904;150449;68.29836;93.16597;180.8264;
1584542904;255470;619;753242;1584542904;255470;-150.7818;68.47349;30.86868;
1584542904;352373;619;845251;1584542904;352373;-150.7818;68.47349;30.86868;
1584542904;380896;619;874786;1584542904;380896;312.7715;-70.04961;-34.41099;
1584542904;403063;619;896472;1584542904;403063;312.7715;-70.04961;-34.41099;
1584542904;423961;619;924039;1584542904;423961;312.7715;-70.04961;-34.41099;
1584542904;514689;620;8519;1584542904;514689;-151.6574;149.2057;223.3341;
1584542904;542231;620;38253;1584542904;542231;-151.6574;149.2057;223.3341;
1584542904;624412;620;117759;1584542904;624412;322.9287;-44.13125;9.783517;
1584542904;730106;620;239380;1584542904;730106;322.9287;-44.13125;9.783517;
1584542904;842945;620;338818;1584542904;842945;-179.5021;178.8016;224.8522;
1584542904;924786;620;418183;1584542904;924786;-179.5021;178.8016;224.8522;
1584542905;15639;620;508923;1584542905;15639;94.56696;-63.39489;-201.4055;
1584542905;54817;620;548262;1584542905;54817;94.56696;-63.39489;-201.4055;
1584542905;142196;620;641991;1584542905;142196;94.56696;-63.39489;-201.4055;
1584542905;256155;620;750067;1584542905;256155;7.355208;-28.37009;-123.4747;
1584542905;336127;620;833926;1584542905;336127;7.355208;-28.37009;-123.4747;
1584542905;430975;620;924426;1584542905;430975;267.0641;-147.6295;-191.7907;
1584542905;462757;620;972279;1584542905;462757;267.0641;-147.6295;-191.7907;
1584542905;575075;621;71212;1584542905;575075;-178.9767;46.58298;4.048352;
1584542905;600482;621;93852;1584542905;600482;-178.9767;46.58298;4.048352;
1584542905;646282;621;147236;1584542905;646282;-178.9767;46.58298;4.048352;
1584542905;735843;621;229322;1584542905;735843;-61.2934;118.0336;136.2945;
1584542905;835566;621;329650;1584542905;835566;-61.2934;118.0336;136.2945;
1584542905;935829;621;429143;1584542905;935829;313.1217;-162.5151;-207.1407;
1584542906;41484;621;535505;1584542906;41484;157.9619;11.90843;93.44945;
1584542906;140902;621;634489;1584542906;140902;157.9619;11.90843;93.44945;
