sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;distance;
1584543043;384347;758;874548;1584543043;384285;2.51;
1584543043;487684;758;977893;1584543043;487619;2.51;
1584543043;588461;759;78608;1584543043;588393;2.5;
1584543043;687991;759;178114;1584543043;687932;2.51;
1584543043;790570;759;280789;1584543043;790506;2.5;
1584543043;889423;759;380733;1584543043;889360;2.49;
1584543043;990040;759;480263;1584543043;989973;3.59;
1584543044;113940;759;604978;1584543044;113869;3.59;
1584543044;198370;759;689366;1584543044;198301;3.64;
1584543044;299665;759;791703;1584543044;298877;2.5;
1584543044;399699;759;890013;1584543044;399584;2.52;
1584543044;603001;760;93194;1584543044;602937;2.57;
1584543044;704645;760;194781;1584543044;704583;3.67;
1584543044;811365;760;301483;1584543044;811296;2.58;
1584543044;908265;760;398494;1584543044;908202;2.82;
1584543045;108497;760;598738;1584543045;108430;3.86;
1584543045;309274;760;799512;1584543045;309206;1.4;
1584543045;512335;761;2965;1584543045;512264;1.08;
1584543046;118218;761;613760;1584543046;118149;2.04;
1584543046;220781;761;715876;1584543046;220709;2.06;
1584543046;321366;761;812520;1584543046;321296;2.1;
1584543046;420320;761;913293;1584543046;420248;2.15;
1584543046;521024;762;11295;1584543046;520954;3.24;
1584543046;624443;762;114770;1584543046;624375;2.3;
1584543046;739288;762;230879;1584543046;739216;1.24;
1584543046;827356;762;317616;1584543046;827283;1.28;
1584543046;929343;762;424834;1584543046;929273;1.34;
1584543047;28746;762;519036;1584543047;28671;1.37;
1584543047;129776;762;620031;1584543047;129624;1.41;
1584543047;232792;762;724858;1584543047;232722;1.46;
1584543047;332006;762;827027;1584543047;331738;1.56;
1584543047;432984;762;927452;1584543047;432913;1.55;
1584543047;533504;763;29066;1584543047;533431;1.64;
1584543047;632487;763;122732;1584543047;632418;1.74;
1584543047;734922;763;225173;1584543047;734852;1.78;
1584543047;837169;763;327349;1584543047;837097;1.82;
1584543047;936932;763;427107;1584543047;936861;1.9;
1584543048;36545;763;526775;1584543048;36472;1.86;
1584543048;139079;763;629267;1584543048;139011;2.02;
1584543048;240087;763;730284;1584543048;240016;0.81;
1584543048;340434;763;830632;1584543048;340362;2.13;
1584543048;542645;764;32854;1584543048;542572;4.37;
1584543048;747387;764;237449;1584543048;747329;1.56;
1584543048;947434;764;437652;1584543048;947361;1.68;
1584543049;46390;764;536505;1584543049;46318;1.76;
1584543049;148830;764;639087;1584543049;148758;1.8;
1584543049;455012;764;948852;1584543049;453639;2.68;
1584543049;656646;765;146802;1584543049;656575;2.03;
1584543049;754601;765;244915;1584543049;754527;2.13;
1584543049;964244;765;454437;1584543049;964178;2.24;
1584543050;63454;765;553639;1584543050;63384;2.3;
1584543050;159840;765;650008;1584543050;159771;2.49;
1584543050;260178;765;750345;1584543050;260110;4;
1584543050;865377;766;361120;1584543050;865304;3.68;
1584543050;971952;766;462099;1584543050;971888;4.03;
1584543051;79799;766;572521;1584543051;79733;1.62;
1584543052;99704;767;589863;1584543052;99635;1.07;
1584543052;706560;768;196731;1584543052;706488;3.66;
1584543053;516467;769;6643;1584543053;516394;1.2;
1584543053;617294;769;109559;1584543053;617218;4.32;
1584543053;718185;769;208368;1584543053;718114;4.43;
1584543053;835358;769;325586;1584543053;835291;1.26;
1584543054;22752;769;512873;1584543054;22679;1.95;
1584543054;123581;769;613854;1584543054;123504;2.12;
1584543054;326460;769;816652;1584543054;326393;2.32;
1584543054;529485;770;19853;1584543054;529417;2.27;
1584543054;635186;770;125309;1584543054;635113;2.31;
1584543054;731204;770;221373;1584543054;731133;2.17;
1584543054;833800;770;332426;1584543054;833600;2.44;
1584543054;933917;770;428705;1584543054;933608;2.86;
1584543055;32275;770;522588;1584543055;32199;2.69;
1584543055;135049;770;625508;1584543055;134978;2.96;
1584543055;234573;770;724758;1584543055;234500;2.83;
1584543055;334428;770;825953;1584543055;334355;2.97;
1584543055;434604;770;924914;1584543055;434528;2.87;
1584543055;535946;771;26042;1584543055;535874;2.87;
1584543055;736390;771;226582;1584543055;736319;3.07;
1584543055;939022;771;433255;1584543055;938953;1.74;
1584543056;244676;771;734807;1584543056;244603;1.74;
1584543056;340743;771;831019;1584543056;340672;1.74;
1584543056;442624;771;936056;1584543056;442559;1.79;
1584543056;545359;772;38273;1584543056;545288;1.64;
1584543056;645504;772;138833;1584543056;645432;1.73;
1584543056;746524;772;239330;1584543056;746453;1.63;
1584543056;848927;772;339111;1584543056;848854;1.76;
1584543056;946080;772;436309;1584543056;946012;1.71;
1584543057;46487;772;536649;1584543057;46421;1.7;
1584543057;149489;772;639989;1584543057;149420;1.91;
1584543057;250343;772;740558;1584543057;250269;1.78;
1584543057;350682;772;840850;1584543057;350613;2.25;
1584543057;452412;772;946807;1584543057;452340;1.83;
1584543057;552881;773;43082;1584543057;552811;1.84;
1584543057;653204;773;143425;1584543057;653137;0.97;
1584543057;754371;773;246688;1584543057;754297;1.94;
1584543057;855277;773;346065;1584543057;855208;1.95;
1584543057;956545;773;449499;1584543057;956476;1.99;
1584543058;58201;773;548444;1584543058;58128;2.03;
1584543058;160322;773;650495;1584543058;160251;2.07;
1584543058;259818;773;750026;1584543058;259221;2.12;
1584543058;360780;773;850969;1584543058;360709;2.16;
1584543058;462823;773;953556;1584543058;462756;2.2;
1584543058;563761;774;53999;1584543058;563690;2.26;
1584543058;664315;774;156781;1584543058;664245;2.3;
1584543058;765210;774;255406;1584543058;765139;2.34;
1584543058;866071;774;356278;1584543058;865998;2.35;
1584543058;974650;774;464876;1584543058;974582;2.39;
1584543059;73286;774;565215;1584543059;73217;2.43;
1584543059;172912;774;665044;1584543059;172839;2.47;
1584543059;275602;774;767666;1584543059;275534;1.52;
1584543059;375290;774;865501;1584543059;375225;2.64;
1584543059;476168;774;966378;1584543059;475406;1.63;
1584543059;576801;775;67049;1584543059;576732;2.75;
1584543059;677308;775;170186;1584543059;677241;2.72;
1584543059;780111;775;270793;1584543059;780041;2.86;
1584543059;885105;775;375380;1584543059;885032;2.91;
1584543059;981095;775;472200;1584543059;981027;2.97;
1584543060;82779;775;572854;1584543060;82709;3.02;
1584543060;186538;775;676828;1584543060;186467;3.07;
1584543060;287218;775;778922;1584543060;287148;2.78;
1584543060;385988;775;876952;1584543060;385917;3.2;
1584543060;487717;775;977908;1584543060;487640;3.2;
1584543060;589098;776;79396;1584543060;589024;1.41;
1584543060;688606;776;178785;1584543060;688536;3.31;
1584543060;792000;776;282138;1584543060;791930;3.36;
1584543060;905355;776;397008;1584543060;905283;3.47;
1584543060;992955;776;483193;1584543060;992890;3.48;
1584543061;94494;776;584781;1584543061;94419;3.54;
1584543061;195741;776;685865;1584543061;195672;2.09;
1584543061;295740;776;786839;1584543061;295669;3.6;
1584543061;397461;776;887859;1584543061;397392;3.66;
1584543061;499283;776;989459;1584543061;499214;3.71;
1584543061;599430;777;89680;1584543061;599361;3.76;
1584543061;702607;777;193311;1584543061;702536;3.81;
1584543061;803576;777;295739;1584543061;803454;3.86;
1584543061;904861;777;395081;1584543061;904792;3.94;
1584543062;5936;777;496122;1584543062;5864;1.56;
1584543062;109028;777;599218;1584543062;108958;1.24;
1584543062;209995;777;700126;1584543062;209890;4.16;
1584543062;309575;777;800359;1584543062;309506;4.22;
1584543062;414326;777;904480;1584543062;414257;1.61;
1584543062;716176;778;206357;1584543062;716108;4.41;
1584543062;818148;778;309454;1584543062;817589;4.41;
1584543063;523352;779;18981;1584543063;523282;3.69;
1584543064;28459;779;518700;1584543064;28390;1.27;
1584543064;127966;779;618229;1584543064;127890;1.33;
1584543064;431150;779;929029;1584543064;430704;1.36;
1584543064;633948;780;124207;1584543064;633872;1.24;
1584543064;735937;780;225986;1584543064;735864;1.29;
1584543064;836512;780;326699;1584543064;836440;1.08;
1584543064;936294;780;426362;1584543064;936223;1.11;
1584543065;40948;780;531355;1584543065;40871;1.17;
1584543065;147504;780;637848;1584543065;147434;1.22;
1584543065;243178;780;733514;1584543065;243104;1.29;
1584543065;343482;780;833800;1584543065;343406;1.33;
1584543065;444508;780;934812;1584543065;444431;1.39;
1584543065;546411;781;36603;1584543065;546343;1.45;
1584543065;647897;781;139847;1584543065;647785;1.51;
1584543065;748322;781;239710;1584543065;748228;1.57;
1584543065;848581;781;338838;1584543065;848515;1.03;
1584543065;949555;781;440000;1584543065;949483;1.69;
1584543066;49245;781;541304;1584543066;49175;1.76;
1584543066;150508;781;640743;1584543066;150437;1.81;
1584543066;251462;781;741776;1584543066;251388;1.88;
1584543066;353307;781;844503;1584543066;353233;1.93;
1584543066;453989;781;944307;1584543066;453915;2;
1584543066;554636;782;44760;1584543066;554566;2.06;
1584543066;655021;782;145348;1584543066;654944;2.12;
1584543066;756545;782;246755;1584543066;756472;1.34;
1584543066;856696;782;348695;1584543066;856579;2.25;
1584543066;963594;782;453907;1584543066;963517;2.32;
1584543067;64589;782;554720;1584543067;64518;2.38;
1584543067;164395;782;654734;1584543067;164319;2.45;
1584543067;267041;782;757330;1584543067;266964;2.51;
1584543067;368730;782;858872;1584543067;368661;2.57;
1584543067;470077;782;966076;1584543067;470006;2.64;
1584543067;572059;783;64048;1584543067;571989;2.71;
1584543067;670939;783;161120;1584543067;670866;2.77;
1584543067;773442;783;273330;1584543067;773373;2.83;
1584543067;873930;783;364051;1584543067;873859;2.9;
1584543067;976056;783;466183;1584543067;975985;2.97;
1584543068;75908;783;566231;1584543068;75831;3.03;
1584543068;178856;783;669143;1584543068;178779;3.09;
1584543068;278899;783;769192;1584543068;278780;3.18;
1584543068;383666;783;873778;1584543068;383595;2.44;
1584543068;486910;783;977579;1584543068;486842;3.3;
1584543068;589254;784;81861;1584543068;589184;3.37;
1584543068;687804;784;178507;1584543068;687736;3.43;
1584543068;788030;784;278167;1584543068;787959;3.5;
1584543068;895473;784;385692;1584543068;895403;3.56;
1584543068;989307;784;481109;1584543068;989238;2.09;
1584543069;88517;784;578810;1584543069;88450;2.02;
1584543069;190830;784;681035;1584543069;190760;2.18;
1584543069;292232;784;782396;1584543069;292161;1.65;
1584543069;394547;784;884765;1584543069;393655;2.55;
1584543069;595542;785;85855;1584543069;595466;2.48;
1584543069;696829;785;186978;1584543069;696759;2.1;
1584543070;99007;785;601182;1584543070;98941;1.14;
1584543070;206366;785;696497;1584543070;206292;4.42;
1584543070;504871;785;995092;1584543070;504804;1.59;
1584543071;422070;786;914549;1584543071;422001;3.87;
1584543071;521955;787;12091;1584543071;521886;1.81;
1584543071;624445;787;114572;1584543071;624371;3.39;
1584543071;724214;787;214349;1584543071;724142;3.44;
1584543072;326315;787;816456;1584543072;326243;2.11;
1584543072;828611;788;318793;1584543072;828547;1.55;
