sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;distance;
1584543043;381180;758;871360;1584543043;381110;1.21;
1584543043;482567;758;974016;1584543043;482498;0.85;
1584543043;583630;759;73816;1584543043;583561;0.89;
1584543043;685498;759;180557;1584543043;685430;2.07;
1584543043;786363;759;276478;1584543043;786293;1.97;
1584543043;886060;759;376266;1584543043;885990;1.96;
1584543043;986562;759;476759;1584543043;986493;1.97;
1584543044;101535;759;598738;1584543044;88402;1.24;
1584543044;190816;759;680968;1584543044;190747;1.12;
1584543044;291617;759;781802;1584543044;291548;1.96;
1584543044;392982;759;883169;1584543044;392911;0.57;
1584543044;495294;759;985530;1584543044;495224;1.56;
1584543044;597111;760;91677;1584543044;597040;1.94;
1584543044;696476;760;197246;1584543044;696408;1.89;
1584543044;798191;760;289287;1584543044;798123;0.93;
1584543044;901098;760;391240;1584543044;901029;1.85;
1584543045;6570;760;496770;1584543045;6498;0.72;
1584543045;103963;760;594080;1584543045;103892;1.17;
1584543045;218779;760;708838;1584543045;218709;1.22;
1584543045;314831;760;804993;1584543045;314761;1.21;
1584543045;415444;760;905632;1584543045;415377;0.73;
1584543045;519732;761;9903;1584543045;519662;0.49;
1584543045;620672;761;110834;1584543045;620602;1.6;
1584543045;722596;761;212756;1584543045;722527;1.58;
1584543045;822247;761;312395;1584543045;822179;1.57;
1584543045;920732;761;410798;1584543045;920662;1.49;
1584543046;23645;761;513788;1584543046;23577;1.5;
1584543046;121551;761;611835;1584543046;121489;0.74;
1584543046;223726;761;713845;1584543046;223660;2.69;
1584543046;324681;761;821690;1584543046;324619;2.65;
1584543046;424695;761;914870;1584543046;424633;2.61;
1584543046;525880;762;15987;1584543046;525814;2.57;
1584543046;631751;762;125242;1584543046;631684;2.51;
1584543046;741411;762;232236;1584543046;741356;0.25;
1584543046;831390;762;324658;1584543046;831328;0.82;
1584543046;932098;762;422278;1584543046;932037;2.39;
1584543047;33232;762;525940;1584543047;33165;2.34;
1584543047;133236;762;623356;1584543047;133175;0.27;
1584543047;236075;762;726158;1584543047;236018;0.22;
1584543047;334414;762;824582;1584543047;334282;2.2;
1584543047;436001;762;926171;1584543047;435937;1.15;
1584543047;536286;763;26450;1584543047;536223;0.32;
1584543047;635665;763;125866;1584543047;635600;0.23;
1584543047;738963;763;229131;1584543047;738897;0.9;
1584543047;841303;763;331388;1584543047;841239;0.9;
1584543047;942486;763;432614;1584543047;942416;1.02;
1584543048;41269;763;532959;1584543048;41206;1.05;
1584543048;146169;763;636392;1584543048;146103;0.12;
1584543048;244016;763;734224;1584543048;243951;1.18;
1584543048;351756;763;845229;1584543048;351686;1.24;
1584543048;444783;763;934982;1584543048;444716;0.27;
1584543048;545438;764;35862;1584543048;545377;0.22;
1584543048;647383;764;137564;1584543048;647314;0.16;
1584543048;745641;764;240377;1584543048;745571;1.35;
1584543048;849179;764;339367;1584543048;849108;1.22;
1584543048;952070;764;442254;1584543048;952001;0.48;
1584543049;52413;764;544862;1584543049;52346;0.41;
1584543049;153598;764;644516;1584543049;153533;1.23;
1584543049;252547;764;742729;1584543049;252479;0.28;
1584543049;354024;764;844228;1584543049;353952;0.24;
1584543049;457401;764;949315;1584543049;457338;0.8;
1584543049;556204;765;48737;1584543049;556137;1;
1584543049;660451;765;150691;1584543049;660387;1.3;
1584543049;758285;765;248437;1584543049;758217;1.36;
1584543049;858205;765;350142;1584543049;858138;0.83;
1584543049;959923;765;452748;1584543049;959855;1.67;
1584543050;66914;765;557160;1584543050;65606;1.77;
