sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543043;314375;758;806241;1584543043;314334;0.01230769;
1584543043;415231;758;906628;1584543043;415189;0.01274725;
1584543043;515684;759;7306;1584543043;515641;0.01230769;
1584543043;616525;759;108073;1584543043;616483;0.01230769;
1584543043;717144;759;208921;1584543043;717097;0.01274725;
1584543043;818243;759;309844;1584543043;818201;0.02065934;
1584543043;919132;759;410482;1584543043;919091;0.01274725;
1584543044;19802;759;511344;1584543044;19761;0.01274725;
1584543044;121233;759;616265;1584543044;121185;0.006153846;
1584543044;221374;759;713155;1584543044;221327;0.007472527;
1584543044;324836;759;818035;1584543044;324775;0.006153846;
1584543044;423551;759;916253;1584543044;423501;0.006593407;
1584543044;524494;760;16274;1584543044;524453;0.006153846;
1584543044;625349;760;117102;1584543044;625303;0.005714286;
1584543044;726874;760;218861;1584543044;726820;0.02373626;
1584543044;827524;760;317772;1584543044;827477;0.007032967;
1584543044;928274;760;420835;1584543044;928225;0.005274725;
1584543045;29486;760;521494;1584543045;29444;0.005274725;
1584543045;131297;760;640189;1584543045;131249;0.005714286;
1584543045;233486;760;725248;1584543045;233427;0.005714286;
1584543045;336026;760;826209;1584543045;335960;0.005714286;
1584543045;434389;760;925908;1584543045;434339;0.005714286;
1584543045;535208;761;26784;1584543045;535167;0.005274725;
1584543045;635874;761;128513;1584543045;635824;0.005714286;
1584543045;736770;761;228591;1584543045;736729;0.004835165;
1584543045;840133;761;330336;1584543045;840087;0.01406593;
1584543045;940564;761;432443;1584543045;940523;0.004835165;
1584543046;43331;761;533631;1584543046;43283;0.005274725;
1584543046;144350;761;637007;1584543046;144298;0.005714286;
1584543046;245255;761;736872;1584543046;245213;0.005274725;
1584543046;346402;761;838407;1584543046;346359;0.005274725;
1584543046;450022;761;941507;1584543046;449962;0.01318681;
1584543046;550707;762;42928;1584543046;550649;0.01230769;
1584543046;650379;762;147797;1584543046;650305;0.004835165;
1584543046;750746;762;241841;1584543046;750699;0.01098901;
1584543046;852825;762;345486;1584543046;852779;0.005274725;
1584543046;953913;762;446806;1584543046;953629;0.005274725;
1584543047;54516;762;547717;1584543047;54454;0.005274725;
1584543047;154972;762;646826;1584543047;154931;0.0167033;
1584543047;255811;762;747444;1584543047;255767;0.005274725;
1584543047;357423;762;849007;1584543047;357378;0.005274725;
1584543047;458299;762;950275;1584543047;458251;0.005274725;
1584543047;559041;763;50949;1584543047;558984;0.005274725;
1584543047;659092;763;150512;1584543047;659046;0.005274725;
1584543047;760945;763;252887;1584543047;760895;0.005274725;
1584543047;863287;763;354883;1584543047;863236;0.01362637;
1584543047;962926;763;454918;1584543047;962880;0.005274725;
1584543048;64129;763;556188;1584543048;64087;0.06285714;
1584543048;167209;763;659012;1584543048;167146;0.09934065;
1584543048;267008;763;757177;1584543048;266961;0.005274725;
1584543048;367720;763;860448;1584543048;367673;0.05274725;
1584543048;469517;763;962693;1584543048;469470;0.04263736;
1584543048;570050;764;62251;1584543048;570007;0.07296703;
1584543048;670571;764;162833;1584543048;670529;0.04131868;
1584543048;770837;764;264331;1584543048;770791;0.01714286;
1584543048;871493;764;361577;1584543048;871446;0.07208791;
1584543048;972808;764;464658;1584543048;972767;0.02593406;
1584543049;73882;764;565789;1584543049;73839;0.1015385;
1584543049;174906;764;666754;1584543049;174859;0.005274725;
1584543049;276083;764;768121;1584543049;276035;0.02241758;
1584543049;378426;764;873492;1584543049;378378;0.07296703;
1584543049;478565;764;970381;1584543049;478522;0.005274725;
1584543049;579925;765;71985;1584543049;579878;0.04307692;
1584543049;681959;765;173504;1584543049;681901;0.009230769;
1584543049;781876;765;273805;1584543049;781835;0.01406593;
1584543049;882845;765;374750;1584543049;882802;0.05230769;
1584543049;983976;765;476716;1584543049;983934;0.01714286;
1584543050;85997;765;577867;1584543050;85940;0.2004396;
1584543050;186405;765;678265;1584543050;186361;0.0698901;
1584543050;286603;765;778725;1584543050;286561;0.2193407;
1584543050;387965;765;880337;1584543050;387906;0.02417582;
1584543050;489310;765;981457;1584543050;489193;0.03252747;
1584543050;589538;766;81856;1584543050;589494;0.1015385;
1584543050;690619;766;182750;1584543050;690564;0.03340659;
1584543050;791826;766;284052;1584543050;791779;0.07208791;
1584543050;892290;766;384637;1584543050;892249;0.005274725;
1584543051;6171;766;499331;1584543051;6107;0.03296703;
1584543051;102508;766;594801;1584543051;102461;0.007032967;
1584543051;203529;766;695363;1584543051;203481;0.005714286;
1584543051;305468;766;798082;1584543051;305420;0.005714286;
1584543051;407069;766;897210;1584543051;407021;0.01010989;
1584543051;507390;767;482;1584543051;507340;0.007032967;
1584543051;619617;767;111853;1584543051;619570;0.08923077;
1584543051;722499;767;214393;1584543051;722453;0.1081319;
1584543051;824122;767;314342;1584543051;824075;0.01406593;
1584543051;926856;767;418289;1584543051;926796;0.0210989;
1584543052;26433;767;518016;1584543052;26382;0.006593407;
1584543052;127109;767;618562;1584543052;127066;0.08263736;
1584543052;227649;767;719679;1584543052;227601;0.007472527;
1584543052;328933;767;820934;1584543052;328892;0.0945055;
1584543052;430358;767;922155;1584543052;430315;0.02197802;
1584543052;531257;768;23044;1584543052;531214;0.006153846;
1584543052;632124;768;124131;1584543052;632076;0.06285714;
1584543052;733539;768;225238;1584543052;733485;0.005714286;
1584543052;834407;768;326163;1584543052;834365;0.006153846;
1584543052;935471;768;427222;1584543052;935430;0.006153846;
1584543053;36316;768;528064;1584543053;36267;0.006153846;
1584543053;137346;768;629585;1584543053;137305;0.01758242;
1584543053;237877;768;729961;1584543053;237835;0.005274725;
1584543053;338741;768;831384;1584543053;338518;0.05406593;
1584543053;439700;768;933179;1584543053;439650;0.005714286;
1584543053;540952;769;32493;1584543053;540904;0.006153846;
1584543053;641565;769;133348;1584543053;641523;0.06285714;
1584543053;742460;769;234068;1584543053;742413;0.008351648;
1584543053;843501;769;334975;1584543053;843451;0.07384615;
1584543053;944212;769;434386;1584543053;944166;0.005714286;
1584543054;44588;769;536427;1584543054;44547;0.01978022;
1584543054;145118;769;636890;1584543054;145077;0.02417582;
1584543054;246186;769;737901;1584543054;246144;0.007472527;
1584543054;346810;769;838378;1584543054;346761;0.007032967;
1584543054;447402;769;938918;1584543054;447355;0.006153846;
1584543054;547989;770;40776;1584543054;547945;0.007472527;
1584543054;649385;770;141257;1584543054;649336;0.01626374;
1584543054;750612;770;246674;1584543054;750564;0.006153846;
1584543054;851792;770;343020;1584543054;851743;0.01054945;
1584543054;953032;770;445846;1584543054;952982;0.007032967;
1584543055;55751;770;546932;1584543055;55692;0.05318681;
1584543055;155217;770;646633;1584543055;155176;0.01054945;
1584543055;255875;770;747954;1584543055;255828;0.01054945;
1584543055;358947;770;849154;1584543055;358885;0.08;
1584543055;459373;770;950769;1584543055;459325;0.01934066;
1584543055;560173;771;52744;1584543055;560121;0.03472527;
1584543055;660846;771;152627;1584543055;660798;0.006153846;
1584543055;761899;771;253464;1584543055;761846;0.01494505;
1584543055;862711;771;354328;1584543055;862670;0.03472527;
1584543055;963571;771;455202;1584543055;963529;0.005714286;
1584543056;64372;771;556113;1584543056;64330;0.02373626;
1584543056;165104;771;656814;1584543056;165059;0.006153846;
1584543056;266196;771;757964;1584543056;266153;0.0945055;
1584543056;367035;771;858639;1584543056;366993;0.03428571;
1584543056;467663;771;959229;1584543056;467620;0.005714286;
1584543056;568304;772;59936;1584543056;568259;0.05318681;
1584543056;669223;772;161046;1584543056;669182;0.02989011;
1584543056;770161;772;263151;1584543056;770118;0.08131868;
1584543056;871138;772;363668;1584543056;871087;0.006593407;
1584543056;970736;772;462847;1584543056;970691;0.01010989;
1584543057;71544;772;563004;1584543057;71495;0.09186812;
1584543057;172205;772;663925;1584543057;172157;0.005714286;
1584543057;273183;772;764953;1584543057;273141;0.01450549;
1584543057;374324;772;865932;1584543057;374281;0.006153846;
1584543057;474974;772;968201;1584543057;474927;0.03692308;
1584543057;575796;773;68705;1584543057;575737;0.01450549;
