sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543043;378040;758;869739;1584543043;377976;7.442857;
1584543044;374828;759;866429;1584543044;374786;7.423516;
1584543045;375643;760;867274;1584543045;375602;7.418681;
1584543046;376499;761;866794;1584543046;376458;7.418681;
1584543047;376996;762;868821;1584543047;376954;7.409011;
1584543048;377993;763;869588;1584543048;377942;7.409011;
1584543049;379356;764;869541;1584543049;379318;7.263956;
1584543050;382603;765;873984;1584543050;382540;7.254285;
1584543051;382737;766;877089;1584543051;382689;7.418681;
1584543052;383259;767;878701;1584543052;383210;7.409011;
1584543053;383988;768;875986;1584543053;383946;7.433187;
1584543054;385205;769;876562;1584543054;385163;7.423516;
1584543055;385862;770;877491;1584543055;385820;7.38;
1584543056;386472;771;877948;1584543056;386430;7.413846;
1584543057;386967;772;878849;1584543057;386924;7.341319;
1584543058;387834;773;881431;1584543058;387789;7.404176;
1584543059;388518;774;878832;1584543059;388475;7.394505;
1584543060;388904;775;880659;1584543060;388858;7.423516;
1584543061;393337;776;885936;1584543061;393273;7.413846;
1584543062;395411;777;890037;1584543062;395350;7.418681;
1584543063;392664;778;882849;1584543063;392617;7.423516;
1584543064;394338;779;885917;1584543064;394280;7.409011;
1584543065;395088;780;885290;1584543065;395040;7.409011;
1584543066;395427;781;897943;1584543066;395380;7.394505;
1584543067;396045;782;888106;1584543067;395999;7.413846;
1584543068;398181;783;889891;1584543068;398121;7.409011;
1584543069;399147;784;889320;1584543069;399099;7.409011;
1584543070;399682;785;891730;1584543070;399640;7.365494;
1584543071;400551;786;892903;1584543071;399941;7.413846;
1584543072;401179;787;892947;1584543072;401137;7.38967;
1584543073;402273;788;893871;1584543073;402231;7.360659;
1584543074;405518;789;897209;1584543074;405454;7.423516;
1584543075;409113;790;901783;1584543075;409062;7.384835;
1584543076;418642;791;911327;1584543076;418573;7.404176;
1584543077;422031;792;912154;1584543077;421964;7.38967;
1584543078;415867;793;910746;1584543078;415458;7.418681;
1584543079;416097;794;906260;1584543079;416049;7.423516;
1584543080;420497;795;914536;1584543080;420431;7.413846;
1584543081;418604;796;909745;1584543081;418558;7.394505;
1584543082;424278;797;914431;1584543082;424210;7.418681;
1584543083;423321;798;913534;1584543083;423272;7.423516;
1584543084;424307;799;914483;1584543084;424261;7.413846;
1584543085;424577;800;918218;1584543085;424535;7.413846;
1584543086;425301;801;920632;1584543086;425254;7.409011;
1584543087;426270;802;917796;1584543087;426217;7.418681;
1584543088;427641;803;917763;1584543088;427591;7.418681;
1584543089;428126;804;919656;1584543089;428061;7.413846;
1584543090;428965;805;920678;1584543090;428924;7.399341;
1584543091;430208;806;921377;1584543091;430156;7.413846;
1584543092;430626;807;922185;1584543092;430584;7.355824;
1584543093;431732;808;923736;1584543093;431680;7.418681;
1584543094;433972;809;926199;1584543094;433914;7.259121;
1584543095;441357;810;933198;1584543095;437649;7.399341;
1584543096;435248;811;926872;1584543096;435205;7.404176;
1584543097;439531;812;929683;1584543097;439467;7.418681;
1584543098;436762;813;928385;1584543098;436715;7.360659;
1584543099;437812;814;929386;1584543099;437627;7.409011;
1584543100;439815;815;932493;1584543100;439765;7.394505;
1584543101;439577;816;932172;1584543101;439535;7.302637;
1584543102;440386;817;932366;1584543102;440345;7.384835;
1584543103;443315;818;933477;1584543103;441640;7.399341;
1584543104;444409;819;937326;1584543104;444359;7.38;
1584543105;447971;820;938129;1584543105;447911;7.409011;
1584543106;447281;821;942598;1584543106;447224;7.409011;
1584543107;447493;822;939321;1584543107;447436;7.394505;
1584543108;450358;823;941747;1584543108;450295;7.38967;
1584543109;450129;824;941913;1584543109;450087;7.394505;
1584543110;450945;825;942288;1584543110;450898;7.394505;
1584543111;451553;826;943151;1584543111;451510;7.273626;
1584543112;452379;827;944453;1584543112;452338;7.394505;
1584543113;454601;828;947087;1584543113;454543;7.38967;
1584543114;454437;829;944660;1584543114;454388;7.191428;
1584543115;455434;830;946994;1584543115;455386;7.394505;
1584543116;455461;831;947078;1584543116;455419;7.399341;
1584543117;456734;832;948454;1584543117;456691;7.384835;
1584543118;457882;833;949478;1584543118;457840;7.394505;
1584543119;458749;834;950296;1584543119;458708;7.38967;
1584543120;459567;835;951176;1584543120;459525;7.384835;
1584543121;460224;836;951903;1584543121;460178;7.384835;
1584543122;462001;837;954705;1584543122;461943;7.394505;
1584543123;469474;838;964532;1584543123;462639;7.413846;
1584543124;466426;839;962447;1584543124;466367;7.394505;
