sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;accelerationX;accelerationY;accelerationZ;
1584543043;362449;758;854529;1584543043;362449;-9.885658;0.2178724;-0.5889736;
1584543043;451820;758;944168;1584543043;451820;-9.859323;0.248997;-0.5482722;
1584543043;477938;758;970255;1584543043;477938;-9.856928;0.2154782;-0.5746084;
1584543043;566507;759;58465;1584543043;566507;-9.873688;0.2274492;-0.6200982;
1584543043;656344;759;150908;1584543043;656344;-9.871293;0.2226608;-0.5291185;
1584543043;684248;759;183068;1584543043;684248;-9.864111;0.2561796;-0.5530606;
1584543043;771729;759;263800;1584543043;771729;-9.876081;0.2226608;-0.5051765;
1584543043;865492;759;357627;1584543043;865492;-9.88087;0.2059013;-0.5770026;
1584543043;951657;759;443736;1584543043;951657;-9.746795;0.3064578;-0.4261679;
1584543043;979321;759;471182;1584543043;979321;-9.919177;0.3160346;-0.5770026;
1584543044;71900;759;563958;1584543044;71900;-10.36929;0.1268927;-0.4453215;
1584543044;186508;759;678654;1584543044;186508;-9.066842;-1.647211;-1.529895;
1584543044;276982;759;769128;1584543044;276982;-9.308656;-0.2202666;-0.7110779;
1584543044;302533;759;796083;1584543044;302533;-10.54885;-1.070208;-0.5147533;
1584543044;403401;759;896341;1584543044;403401;-10.26634;-1.029507;0.4381389;
1584543044;487352;759;988751;1584543044;487352;-10.56082;-1.410185;0.641646;
1584543044;577083;760;69114;1584543044;577083;-7.831434;2.284068;-1.692701;
1584543044;672412;760;164568;1584543044;672412;-13.77384;1.043872;0.56982;
1584543044;694853;760;203395;1584543044;694853;-10.94629;-4.479551;-3.684676;
1584543044;792021;760;284086;1584543044;792021;-10.62786;2.794033;-1.786074;
1584543044;892304;760;384367;1584543044;892304;-9.01417;2.829946;-1.630451;
1584543044;987568;760;479602;1584543044;987568;-12.25592;-1.788469;-0.2561796;
1584543045;82238;760;574161;1584543045;82238;-12.62463;1.16837;0.9720459;
1584543045;102170;760;605399;1584543045;102170;-4.683058;-0.7110779;3.61285;
1584543045;217172;760;712657;1584543045;217172;-8.06846;2.03986;1.932121;
1584543045;307013;760;810426;1584543045;307013;-10.17775;-0.4979939;-4.644751;
1584543045;402540;760;896210;1584543045;402540;-9.100361;1.343147;-7.115567;
1584543045;487938;760;980016;1584543045;487938;-6.955156;-3.938462;1.668759;
1584543045;582514;761;74468;1584543045;582514;-7.841011;-0.2466028;1.419762;
1584543045;608657;761;101224;1584543045;608657;-15.97651;-2.054225;-0.557849;
1584543045;698424;761;190346;1584543045;698424;-6.081272;1.103727;-0.05027824;
1584543045;787909;761;279970;1584543045;787909;-6.210559;0.6488286;-3.74932;
1584543045;817313;761;318225;1584543045;817313;-15.32528;-1.781286;-2.667141;
1584543045;903195;761;402833;1584543045;903195;0.4118027;1.805228;-0.2896984;
1584543045;993433;761;485684;1584543045;993433;-15.65329;-1.297657;-2.810793;
1584543046;22119;761;521023;1584543046;22119;-10.18254;-1.21386;0.4189853;
1584543046;108386;761;602083;1584543046;108386;-12.93108;-2.030283;0.9457096;
1584543046;203611;761;695679;1584543046;203611;-7.649474;3.684676;-2.906561;
1584543046;298470;761;790554;1584543046;298470;-12.18888;-3.213019;-1.78368;
1584543046;393548;761;885572;1584543046;393548;-18.54309;-1.077391;-4.211401;
1584543046;432466;761;925420;1584543046;432466;-9.624691;0.7757213;3.945644;
1584543046;520766;762;23505;1584543046;520766;-9.078813;7.398083;-1.103727;
1584543046;613779;762;105753;1584543046;613779;-6.947973;-0.1508347;-2.930503;
1584543046;703295;762;195411;1584543046;703295;-13.22796;-3.433285;1.599327;
1584543046;723701;762;216344;1584543046;723701;-11.01333;-1.410185;-0.4070143;
1584543046;839757;762;331976;1584543046;839757;-13.42668;-0.2537854;-0.3878607;
1584543046;924254;762;416551;1584543046;924254;-11.23599;-0.4692635;-8.207323;
1584543046;958623;762;451139;1584543046;958623;-16.41465;-5.987898;0.3399766;
1584543047;44244;762;536425;1584543047;44244;-1.127669;0.3495534;3.114856;
1584543047;69135;762;561921;1584543047;69135;-6.720524;-0.3256114;1.699883;
1584543047;164687;762;656618;1584543047;164687;-21.79681;-4.601655;-1.740585;
1584543047;188618;762;680603;1584543047;188618;-22.9149;-4.714183;-3.751714;
1584543047;214992;762;709502;1584543047;214992;-5.085284;-3.040636;0.308852;
1584543047;304571;762;796715;1584543047;304571;-11.29105;-1.996764;-1.074997;
1584543047;342902;762;835977;1584543047;342902;-8.846575;-4.649539;-0.8283938;
1584543047;424676;762;917024;1584543047;424676;-0.9696517;8.487445;6.533776;
1584543047;513994;763;5937;1584543047;513994;-9.126697;0.6991069;3.957615;
1584543047;555351;763;47215;1584543047;555351;-9.308656;5.228936;3.65834;
1584543047;649061;763;141217;1584543047;649061;-6.016629;3.756502;-1.493982;
1584543047;674791;763;166762;1584543047;674791;-13.19684;4.06296;-2.164358;
1584543047;700188;763;193067;1584543047;700188;-12.36605;-0.7230489;0.85473;
1584543047;732176;763;234911;1584543047;732176;-12.1003;1.142034;2.96881;
1584543047;829965;763;321856;1584543047;829965;-3.3447;2.224213;2.693477;
1584543047;926051;763;418055;1584543047;926051;-14.29099;3.653552;0.4381389;
1584543048;21547;763;513673;1584543048;21547;-9.73243;-3.921702;0.9864111;
1584543048;114819;763;606741;1584543048;114819;-13.63258;4.764462;-2.319981;
1584543048;136489;763;632907;1584543048;136489;-7.359776;-0.3854665;-3.074155;
1584543048;229906;763;721873;1584543048;229906;-13.36443;-1.25935;-6.818686;
1584543048;329975;763;821934;1584543048;329975;-6.584054;-2.612074;1.826776;
1584543048;434690;763;926592;1584543048;434690;-2.468422;1.936909;2.990358;
1584543048;463991;763;956112;1584543048;463991;-4.539406;5.176264;5.267244;
1584543048;489481;763;981608;1584543048;489481;-13.89834;-0.3471592;-4.766856;
1584543048;514443;764;6362;1584543048;514443;-15.89271;-3.881001;-2.394202;
1584543048;605422;764;97518;1584543048;605422;-10.44111;-2.5187;-2.123657;
1584543048;635754;764;128649;1584543048;635754;-13.55836;-2.633622;3.172317;
1584543048;727559;764;219641;1584543048;727559;-5.616797;3.574543;2.964022;
1584543048;758027;764;250352;1584543048;758027;-0.6919243;2.856282;4.589684;
1584543048;840198;764;332522;1584543048;840198;0.7086837;4.125209;-4.22816;
1584543048;864980;764;357202;1584543048;864980;-7.206547;2.475605;-1.041478;
1584543048;883546;764;375573;1584543048;883546;-9.423577;-1.371878;0.9433154;
1584543048;899877;764;391747;1584543048;899877;-5.770026;1.127669;-1.702277;
1584543048;915190;764;406958;1584543048;915190;-12.07156;-8.470685;0.6153098;
1584543049;14963;764;506637;1584543049;14963;-7.979874;-1.051054;-6.562507;
1584543049;34934;764;527515;1584543049;34934;-8.841786;3.450045;-5.714959;
1584543049;120535;764;612548;1584543049;120535;-13.36443;1.182736;-3.052607;
