sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;magneticFieldX;magneticFieldY;magneticFieldZ;
1584543043;368122;758;861768;1584543043;368122;300.1625;-94.56696;-113.3538;
1584543043;460051;758;954282;1584543043;460051;300.1625;-94.56696;-113.3538;
1584543043;491705;758;988742;1584543043;491705;299.6372;-92.99084;-111.161;
1584543043;572462;759;65032;1584543043;572462;299.6372;-92.99084;-111.161;
1584543043;665984;759;158656;1584543043;665984;299.9874;-94.0416;-111.161;
1584543043;701297;759;195283;1584543043;701297;299.9874;-94.0416;-111.161;
1584543043;779797;759;272180;1584543043;779797;299.9874;-94.0416;-111.161;
1584543043;871789;759;367848;1584543043;871789;300.6879;-96.49333;-112.1731;
1584543043;956767;759;454255;1584543043;956767;294.2083;-90.36399;-105.9319;
1584543043;985657;759;487919;1584543043;985657;294.2083;-90.36399;-105.9319;
1584543044;77016;759;570655;1584543044;77016;289.8302;-70.57497;-62.58077;
1584543044;195426;759;692680;1584543044;195426;289.8302;-70.57497;-62.58077;
1584543044;282572;759;775929;1584543044;282572;-141.5002;76.00382;42.50769;
1584543044;314775;759;808070;1584543044;314775;-141.5002;76.00382;42.50769;
1584543044;414638;759;908044;1584543044;414638;223.108;-121.8863;-203.0923;
1584543044;503974;760;1673;1584543044;503974;223.108;-121.8863;-203.0923;
1584543044;583170;760;76306;1584543044;583170;142.2007;-106.4754;-200.7308;
1584543044;678612;760;171155;1584543044;678612;142.2007;-106.4754;-200.7308;
1584543044;718406;760;210937;1584543044;718406;41.67951;80.55704;198.0319;
1584543044;797956;760;309012;1584543044;797956;41.67951;80.55704;198.0319;
1584543044;916102;760;409006;1584543044;916102;296.3098;-159.7131;-210.5143;
1584543044;993026;760;486225;1584543044;993026;296.3098;-159.7131;-210.5143;
1584543045;87698;760;580899;1584543045;87698;352.5246;-147.6295;-195.839;
1584543045;120286;760;613552;1584543045;120286;352.5246;-147.6295;-195.839;
1584543045;226898;760;720174;1584543045;226898;55.68943;88.963;210.8517;
1584543045;324724;760;818117;1584543045;324724;55.68943;88.963;210.8517;
1584543045;410693;760;910340;1584543045;410693;188.9588;40.80389;98.67857;
1584543045;493455;760;986790;1584543045;493455;75.8287;99.29531;198.8753;
1584543045;588624;761;81379;1584543045;588624;75.8287;99.29531;198.8753;
1584543045;615405;761;115971;1584543045;615405;75.8287;99.29531;198.8753;
1584543045;709610;761;205024;1584543045;709610;-90.18887;149.731;184.706;
1584543045;793342;761;287166;1584543045;793342;-90.18887;149.731;184.706;
1584543045;832801;761;325587;1584543045;832801;39.57803;-52.5372;-169.6934;
1584543045;917609;761;417015;1584543045;917609;39.57803;-52.5372;-169.6934;
1584543045;999269;761;492101;1584543045;999269;225.0343;8.931324;26.48297;
1584543046;35029;761;526786;1584543046;35029;225.0343;8.931324;26.48297;
1584543046;131458;761;624386;1584543046;131458;225.0343;8.931324;26.48297;
1584543046;209062;761;710212;1584543046;209062;-202.6185;163.0405;204.2731;
1584543046;304219;761;798081;1584543046;304219;-202.6185;163.0405;204.2731;
1584543046;398807;761;891817;1584543046;398807;308.5685;-90.71423;-115.7154;
1584543046;439301;761;931535;1584543046;439301;308.5685;-90.71423;-115.7154;
1584543046;538374;762;31632;1584543046;538374;-223.108;149.2057;201.0681;
1584543046;619617;762;113781;1584543046;619617;-223.108;149.2057;201.0681;
1584543046;709367;762;201697;1584543046;709367;321.8779;-154.8096;-212.2011;
1584543046;748734;762;246060;1584543046;748734;321.8779;-154.8096;-212.2011;
1584543046;845939;762;338969;1584543046;845939;321.8779;-154.8096;-212.2011;
1584543046;940507;762;432949;1584543046;940507;-205.4205;91.9401;117.2335;
1584543046;965158;762;457959;1584543046;965158;-205.4205;91.9401;117.2335;
1584543047;50419;762;542762;1584543047;50419;-191.9359;74.60283;71.18352;
1584543047;75881;762;569064;1584543047;75881;-191.9359;74.60283;71.18352;
1584543047;169927;762;663386;1584543047;169927;-121.0107;135.0206;167.8379;
1584543047;194570;762;687031;1584543047;194570;-121.0107;135.0206;167.8379;
1584543047;223391;762;716563;1584543047;223391;-121.0107;135.0206;167.8379;
1584543047;310313;762;811048;1584543047;310313;-142.2007;7.004961;-19.9044;
1584543047;349897;762;842770;1584543047;349897;-142.2007;7.004961;-19.9044;
1584543047;431039;762;934232;1584543047;431039;-142.2007;7.004961;-19.9044;
1584543047;519777;763;13069;1584543047;519777;53.93819;62.69439;171.0429;
1584543047;566474;763;59088;1584543047;566474;53.93819;62.69439;171.0429;
1584543047;654813;763;152200;1584543047;654813;188.6086;18.03777;42.67637;
1584543047;681416;763;174564;1584543047;681416;188.6086;18.03777;42.67637;
1584543047;706607;763;200332;1584543047;706607;188.6086;18.03777;42.67637;
1584543047;750189;763;242759;1584543047;750189;188.6086;18.03777;42.67637;
1584543047;836349;763;340315;1584543047;836349;-185.6315;133.0943;182.8506;
1584543047;932064;763;425708;1584543047;932064;310.67;-85.81076;-52.29121;
1584543048;27650;763;520813;1584543048;27650;310.67;-85.81076;-52.29121;
1584543048;120821;763;614176;1584543048;120821;316.6242;-77.75506;-80.62967;
1584543048;154472;763;647115;1584543048;154472;316.6242;-77.75506;-80.62967;
1584543048;235575;763;737084;1584543048;235575;253.5796;-11.20794;-20.91648;
1584543048;335553;763;829013;1584543048;335553;253.5796;-11.20794;-20.91648;
1584543048;441045;763;938291;1584543048;441045;-170.5708;149.9061;170.3681;
1584543048;474565;763;967416;1584543048;474565;-170.5708;149.9061;170.3681;
1584543048;498619;763;991762;1584543048;498619;-170.5708;149.9061;170.3681;
1584543048;527509;764;22611;1584543048;527509;-170.5708;149.9061;170.3681;
1584543048;611140;764;112774;1584543048;611140;-160.5887;51.66158;-12.31374;
1584543048;643027;764;140806;1584543048;643027;-160.5887;51.66158;-12.31374;
1584543048;732608;764;226097;1584543048;732608;-191.4105;74.4277;59.88187;
1584543048;763882;764;256638;1584543048;763882;-191.4105;74.4277;59.88187;
1584543048;847063;764;342522;1584543048;847063;-181.4285;60.24266;25.3022;
1584543048;870146;764;364506;1584543048;870146;-181.4285;60.24266;25.3022;
